work_id	author_id	year	date	title	type	venue	doi	oa	cited	authors	becker_affiliation	is_this_adam_becker
W2897886891	A5102075337	2018	2018-09-24	Gas Cloud Temperature Constrains Dark Matter	article	Physics	https://doi.org/10.1103/physics.11.95	closed	0	Adam Becker		yes
W2800469547	A5026809517	2018	2018-05-01	Science AMA Series: I’m Adam Becker, astrophysicist and author of WHAT IS REAL?, the story of the unfinished quest for the meaning of quantum physics. AMA!	preprint	The Winnower	https://doi.org/10.15200/winn.152517.79042	diamond	0	Adam-Becker; r/Science AMAs		yes
W2768676314	A5102075337	2018	2018-01-01	What is Real?: The Unfinished Quest for the Meaning of Quantum Physics	article			closed	43	Adam Becker		yes
W2604245787	A5102075337	2017	2017-04-06	A search for passive protoplanetary discs in the Taurus–Auriga star-forming region	article	Monthly Notices of the Royal Astronomical Society	https://doi.org/10.1093/mnras/stx852	bronze	8	Gaspard Duchêne; Adam Becker; Yizhe Yang; H. Bouy; Robert J. De Rosa; Jennifer Patience; J. H. Girard	Astronomy Department, University of California, Berkeley, CA 94720, USA	no — Berkeley Astronomy Dept Adam Becker, different person
W2301727096	A5102075337	2016	2016-01-01	Exiled to the solar system's edge	article	The New Scientist	https://doi.org/10.1016/s0262-4079(16)30204-4	closed	0	Adam Becker; Jacob Aron; Lisa Grossman		yes
W1515926064	A5076781516	2015	2015-06-16	A User-Friendly Dark Energy Model Generator	preprint	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.1506.05088	green	0	Kyle A. Hinton; Adam Becker; Dragan Huterer		yes
W2602578389	A5102075337	2014	2014-11-18	Walk This Way! Empowering Diverse Communities to Build Better Blocks	article	142nd APHA Annual Meeting and Exposition (November 15 - November 19, 2014)		closed	0	Adam Becker		no — Adam B. Becker, public health (Northwestern/CLOCC), different person
W2941610363	A5102075337	2013	2013-01-01	Bright fix to revive NASA planet hunter	article	The New Scientist		closed	0	Adam Becker; Moffett Field		yes
W2083521273	A5102075337	2013	2013-09-01	Death by Higgs neatly rids cosmos of space brain threat	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)62172-7	closed	0	Adam Becker		yes
W2949059347	A5102075337	2013	2013-01-01	Death by Higgs rids us of cosmic brains	article	The New Scientist		closed	0	Adam Becker		yes
W2094669602	A5102075337	2013	2013-11-01	Eavesdropping on dark sound shrinks the shadow universe	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)62627-5	closed	0	Adam Becker		yes
W1916076194	A5076781516	2013	2013-08-15	Joint Minkowski functionals and bispectrum constraints on non-Gaussianity in the cosmic microwave background	article	Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields	https://doi.org/10.1103/physrevd.88.041302	green	10	Wenjuan Fang; Adam Becker; Dragan Huterer; Eugene A. Lim	Department of Astronomy, University of Illinois at Urbana-Champaign, 1002 W. Green Street, Urbana, Illinois 61801, USA and Department of Physics, University of Michigan, 450 Church Street, Ann Arbor, Michigan 48109-1040, USA|Department of Physics, University of Michigan, 450 Church Street, Ann Arbor, Michigan 48109-1040, USA	yes
W2016933630	A5102075337	2013	2013-05-01	Lightweight dark matter packing a stronger punch	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)61224-5	closed	0	Adam Becker		yes
W1991710097	A5102075337	2013	2013-09-01	Proton sent through looking glass to gauge oddest force	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)62323-4	closed	0	Adam Becker		yes
W2951512325	A5102075337	2013	2013-01-01	String theory limits space brain threat	article	The New Scientist		closed	0	Adam Becker		yes
W2021165187	A5102075337	2013	2013-05-01	String theory may limit space brain threat	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)61283-x	closed	1	Adam Becker		yes
W2015376603	A5102075337	2013	2013-11-01	Sunny fix would let defunct Kepler hunt planets again	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)62671-8	closed	0	Adam Becker		yes
W2951444860	A5102075337	2013	2013-01-01	The great quantum space-time tangle	article	The New Scientist		closed	0	Adam Becker		yes
W2069145944	A5102075337	2013	2013-04-01	Water worlds bring us closer to finding Earth's twin	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)61031-3	closed	0	Adam Becker		yes
W2979616525	A5102075337	2013	2013-01-01	Water worlds swell hopes of finding life	article	The New Scientist		closed	0	Adam Becker		yes
W1982052643	A5102075337	2013	2013-07-01	Wormhole entanglement gives quantum universe the bends	article	The New Scientist	https://doi.org/10.1016/s0262-4079(13)61839-4	closed	0	Adam Becker		yes
W1967747827	A5102075337	2012	2012-08-21	CALTECH CORE-COLLAPSE PROJECT (CCCP) OBSERVATIONS OF TYPE II SUPERNOVAE: EVIDENCE FOR THREE DISTINCT PHOTOMETRIC SUBTYPES	article	The Astrophysical Journal Letters	https://doi.org/10.1088/2041-8205/756/2/l30	bronze	163	Iair Arcavi; A. Gal‐Yam; S. B. Cenko; D. B. Fox; Douglas C. Leonard; Dae‐Sik Moon; David J. Sand; Alicia Soderberg; M. Kiewe; O. Yaron; Adam Becker; Raphael Scheps; G. Birenbaum; Daniel Chamudot; Jonathan Zhou	Department of Astronomy, University of California, Berkeley, CA 94720-3411, USA|Department of Astronomy, University of California, Berkeley, CA, 94720-3411, USA	no — Berkeley Astronomy Dept Adam Becker, different person
W2012611128	A5076781516	2012	2012-12-20	Constraining scale-dependent non-Gaussianity with future large-scale structure and the CMB	article	Journal of Cosmology and Astroparticle Physics	https://doi.org/10.1088/1475-7516/2012/12/034	bronze	24	Adam Becker; Dragan Huterer; Kenji Kadota	Department of Physics and Michigan Center for Theoretical Physics, University of Michigan, 450 Church Street, Ann Arbor, MI 48109, U.S.A|Department of Physics and Michigan Center for Theoretical Physics,  University of Michigan,  450 Church Street, Ann Arbor, MI 48109, U.S.A	yes
W2029741149	A5076781516	2012	2012-09-18	First Constraints on the Running of Non-Gaussianity	article	Physical Review Letters	https://doi.org/10.1103/physrevlett.109.121302	green	37	Adam Becker; Dragan Huterer	Department of Physics, University of Michigan, Ann Arbor, 48109-1040, USA. beckeram@umich.edu|Department of Physics, University of Michigan, Ann Arbor, 48109-1040, USA	yes
W601992439	A5076781516	2012	2012-01-01	Is the Universe Normal? Constraining Scale-Dependent Primordial Non-Gaussianity.	dissertation	Deep Blue (University of Michigan)		green	0	Adam Becker		yes
W2005440443	A5076781516	2011	2011-01-11	Scale-dependent non-Gaussianity as a generalization of the local model	article	Journal of Cosmology and Astroparticle Physics	https://doi.org/10.1088/1475-7516/2011/01/006	bronze	43	Adam Becker; Dragan Huterer; Kenji Kadota	Department of Physics and Michigan Center for Theoretical Physics, University of Michigan, 450 Church Street, Ann Arbor, MI 48109, U.S.A|(University of Michigan)	yes
W1646063911	A5076781516	2009	2009-10-01	Percolation thresholds on two-dimensional Voronoi networks and Delaunay triangulations	article	Physical Review E	https://doi.org/10.1103/physreve.80.041101	green	53	Adam Becker; Robert M. Ziff	Department of Physics, University of Michigan, Ann Arbor, Michigan 48109-1040, USA. beckeram@umich.edu|Department of Physics, University of Michigan, Ann Arbor, Michigan 48109-1040, USA	yes
