date	title	slug	url	fetched_file
2013-08-14	Citizen Bezos?	why-amazon-ceo-jeff-bezos-bought-the-washington-post-by-esther-dyson	https://www.project-syndicate.org/commentary/why-amazon-ceo-jeff-bezos-bought-the-washington-post-by-esther-dyson	by/2013--project-syndicate-citizen-bezos.md
2013-09-20	Self-Measurement and Self-Manipulation	learning-our-own-healthy-habits-by-esther-dyson	https://www.project-syndicate.org/commentary/learning-our-own-healthy-habits-by-esther-dyson	by/2013--project-syndicate-self-measurement-and-self-manipulation.md
2013-10-23	Measure for Mismeasure	esther-dysonon-making-sense-of-ratings-and-rankings	https://www.project-syndicate.org/commentary/esther-dysonon-making-sense-of-ratings-and-rankings	by/2013--project-syndicate-measure-for-mismeasure.md
2013-11-18	The Transparency Challenge	esther-dyson-asks-whether-honesty-about-government-activities-is-enough	https://www.project-syndicate.org/commentary/esther-dyson-asks-whether-honesty-about-government-activities-is-enough	by/2013--project-syndicate-the-transparency-challenge.md
2013-12-30	Philanthropies of Scale	esther-dyson-wonders-whether-nonprofit-organizations-can-operate-as-efficiently-as-their-for-profit-counterparts	https://www.project-syndicate.org/commentary/esther-dyson-wonders-whether-nonprofit-organizations-can-operate-as-efficiently-as-their-for-profit-counterparts	by/2013--project-syndicate-philanthropies-of-scale.md
2014-01-22	The Anti-Fragility of Health	esther-dyson-argues-that-it-is-a-mistake-to-define-health-merely-as-the-absence-of-disease	https://www.project-syndicate.org/commentary/esther-dyson-argues-that-it-is-a-mistake-to-define-health-merely-as-the-absence-of-disease	by/2014--project-syndicate-the-anti-fragility-of-health.md
2014-02-25	Lesson One in School Food	esther-dyson-suggests-that-the-shift-to-healthier-school-lunches-could-trigger-much-broader-social-change	https://www.project-syndicate.org/commentary/esther-dyson-suggests-that-the-shift-to-healthier-school-lunches-could-trigger-much-broader-social-change	by/2014--project-syndicate-lesson-one-in-school-food.md
2014-03-19	Day Traders of Charity	esther-dyson-criticizes-the-emerging-personal-approach-to-solving-systemic-problems	https://www.project-syndicate.org/commentary/esther-dyson-criticizes-the-emerging-personal-approach-to-solving-systemic-problems	by/2014--project-syndicate-day-traders-of-charity.md
2014-04-23	The Great Global Bazaar	esther-dyson-on-the-importance-of-an-open-mind-and-a-willingness-to-wander-off-the-beaten-path	https://www.project-syndicate.org/commentary/esther-dyson-on-the-importance-of-an-open-mind-and-a-willingness-to-wander-off-the-beaten-path	by/2014--project-syndicate-the-great-global-bazaar.md
2014-05-27	The Private Sector’s Privacy Puzzle	esther-dyson-explores-when-and-why-people-are-likely-to-share-their-data	https://www.project-syndicate.org/commentary/esther-dyson-explores-when-and-why-people-are-likely-to-share-their-data	by/2014--project-syndicate-the-private-sectors-privacy-puzzle.md
2014-06-27	A User’s Guide to Conferences	esther-dyson-explains-how-organizers-speakers-and-participants-can-benefit-the-most-from-industry-meetings	https://www.project-syndicate.org/commentary/esther-dyson-explains-how-organizers-speakers-and-participants-can-benefit-the-most-from-industry-meetings	by/2014--project-syndicate-a-user-s-guide-to-conferences.md
2014-07-25	The Facebook Furor	esther-dyson-explores-the-roots-of-public-outrage-over-the-social-networking-site-s-psychological-experiment	https://www.project-syndicate.org/commentary/esther-dyson-explores-the-roots-of-public-outrage-over-the-social-networking-site-s-psychological-experiment	by/2014--project-syndicate-the-facebook-furor.md
2014-08-27	The Next-Generation Greenhouse	esther-dyson-extols-the-promise-of-vertical--plant-production-units	https://www.project-syndicate.org/commentary/esther-dyson-extols-the-promise-of-vertical--plant-production-units	by/2014--project-syndicate-the-next-generation-greenhouse.md
