date	category	title	henryfarrell_net_url	primary_external_url	other_urls	blurb_chars
2024-09-19	essay	America Should Think Twice Before Replacing Sanctions with Tariffs – with Abraham Newman	https://henryfarrell.net/america-should-think-twice-before-replacing-sanctions-with-tariffs-and-abraham-newman/	https://www.ft.com/content/8d84f669-5c8a-4bf6-8e24-5474076f214a		252
2024-09-04	essay	Large Language Models Will Upend Human Rituals – with Marion Fourcade	https://henryfarrell.net/large-language-models-will-upend-human-rituals-with-marion-fourcade/	https://www.economist.com/by-invitation/2024/09/04/large-language-models-will-upend-human-rituals		480
2024-08-01	essay	No Exit Opportunities: Business Models and Political Thought in Silicon Valley	https://henryfarrell.net/no-exit-opportunities-business-models-and-political-thought-in-silicon-valley/	https://americanaffairsjournal.org/2024/08/no-exit-opportunities-business-models-and-political-thought-in-silicon-valley/		1995
2024-06-11	academic-article	Henry Farrell Talks to Kim Stanley Robinson	https://henryfarrell.net/henry-farrell-talks-to-kim-stanley-robinson/	https://vector-bsfa.com/2024/06/11/henry-farrell-talks-to-kim-stanley-robinson/	https://vector-bsfa.com/2024/06/11/henry-farrell-talks-to-kim-stanley-robinson/	9045
2024-05-22	essay	Consulting Firms Have Stumbled Into a Geopolitical Minefield – with Abraham Newman	https://henryfarrell.net/consulting-firms-have-stumbled-into-a-geopolitical-minefield-with-abraham-newman/	https://foreignpolicy.com/2024/05/22/consulting-firms-business-data-regulation-china-mckinsey/		982
2024-03-15	academic-article	Bias, Skew and Search Engines Suffice to Explain Online Toxicity – with Cosma Shalizi	https://henryfarrell.net/bias-skew-and-search-engines-suffice-to-explain-online-toxicity/	https://www.dropbox.com/scl/fi/bsubehcbqmnfyva5uqw5u/skew-acm-tex-format-v2-2023-08-22.pdf?rlkey=ato742s7g07xey85mxs3o8anb&amp;dl=0	https://www.dropbox.com/scl/fi/bsubehcbqmnfyva5uqw5u/skew-acm-tex-format-v2-2023-08-22.pdf?rlkey=ato742s7g07xey85mxs3o8anb&amp;dl=0	1655
2024-03-02	essay	Canada Needs to Start Preparing for Trump – and Getting Other Allies Involved – with Abraham Newman	https://henryfarrell.net/canada-needs-to-start-preparing-for-trump-and-getting-other-allies-involved-with-abraham-newman/	https://www.theglobeandmail.com/opinion/article-canada-needs-to-start-preparing-for-trump-and-getting-other-allies/		324
2024-02-28	academic-article	The Moral Economy of High-Tech Modernism – with Marion Fourcade	https://henryfarrell.net/the-moral-economy-of-high-tech-modernism-with-marion-fourcade/	https://direct.mit.edu/daed/article/152/1/225/115009/The-Moral-Economy-of-High-Tech-Modernism		3036
2024-02-14	essay	Can Big Tech Serve Democracy? – with Glen Weyl	https://henryfarrell.net/can-big-tech-serve-democracy-with-glen-weyl/	https://www.bostonreview.net/articles/can-big-tech-serve-democracy/		2678
2023-12-12	essay	AI’s Big Rift is Like a Religious Schism	https://henryfarrell.net/ais-big-rift-is-like-a-religious-schism/	https://www.economist.com/by-invitation/2023/12/12/ais-big-rift-is-like-a-religious-schism-says-henry-farrell		609
2023-12-06	public-writing,review	Review by Paul Krugman, “The American Way of Economic War”	https://henryfarrell.net/interview-with-paul-krugman-the-american-way-of-economic-war/	https://www.foreignaffairs.com/regions/united-states	https://www.foreignaffairs.com/reviews/american-way-economic-war-paul-krugman	1199
2023-11-24	essay	Binance and the End of Crypto’s Dream to Escape From Government – with Abraham Newman	https://henryfarrell.net/binance-and-the-end-of-cryptos-dream-to-escape-from-government-with-abraham-newman/	https://www.wsj.com/finance/currencies/the-end-of-cryptos-dream-to-escape-from-government-110aeca9		1207
2023-10-19	essay	The New Economic Security State: How De-Risking Will Remake Geopolitics – with Abraham Newman	https://henryfarrell.net/the-new-economic-security-state-how-de-risking-will-remake-geopolitics-with-abraham-newman/	https://www.foreignaffairs.com/united-states/economic-security-state-farrell-newman		894
2023-10-11	essay	What If These Economic Weapons Fall into Trump’s Hands? – with Abraham Newman	https://henryfarrell.net/what-if-these-economic-weapons-fall-into-trumps-hands-with-abraham-newman/	https://www.nytimes.com/2023/10/11/opinion/biden-trump-economic-weapons.html		1385
2023-09-20	essay	What Happens When Tech Bros Run National Security? – with Abraham Newman	https://henryfarrell.net/what-happens-when-tech-bros-run-national-security-with-abraham-newman/	https://time.com/6315670/big-tech-national-security/		2644
2023-09-12	essay	How a Single Hard-Charging CEO Helped the US Dollar Take Over the World – with Abraham Newman	https://henryfarrell.net/how-a-single-hard-charging-ceo-helped-the-us-dollar-take-over-the-world-with-abraham-newman/	https://www.businessinsider.com/how-us-dollar-became-dominant-citibank-walter-wriston-2023-9		3324
2023-09-09	essay	How the U.S. Stumbled Into Using Chips as a Weapon Against China – with Abraham Newman	https://henryfarrell.net/how-the-u-s-stumbled-into-using-chips-as-a-weapon-against-china-with-abraham-newman/	https://www.wsj.com/politics/policy/how-the-u-s-stumbled-into-using-chips-as-a-weapon-against-china-ec37e32		948
2023-09-02	essay	American Influence: Ireland Must Focus on Economic Security as Arena of Vulnerability	https://henryfarrell.net/american-influence-ireland-must-focus-on-economic-security-as-arena-of-vulnerability/	https://www.irishtimes.com/culture/books/2023/09/02/american-influence-ireland-must-focus-on-economic-security-as-arena-of-vulnerability/		2132
2023-06-21	essay	Behold the AI shoggoth – with Cosma Shalizi	https://henryfarrell.net/behold-the-ai-shoggoth-with-cosma-shalizi/	https://www.economist.com/by-invitation/2023/06/21/artificial-intelligence-is-a-familiar-looking-monster-say-henry-farrell-and-cosma-shalizi		1316
2023-05-09	academic-article	Analytical Democracy: A Microfoundational Approach – with Hugo Mercier and Melissa Schwartzberg	https://henryfarrell.net/analytical-democracy-a-microfoundational-approach/	https://www.cambridge.org/core/journals/american-political-science-review/article/analytical-democratic-theory-a-microfoundational-approach/739A9A928A99A47994E4585059B03398		1382
2023-04-21	essay	How Artificial Intelligence Can Aid Democracy – with Bruce Schneier and Nathan E. Sanders	https://henryfarrell.net/how-artificial-intelligence-can-aid-democracy-with-bruce-schneier-and-nathan-e-sanders/	https://slate.com/technology/2023/04/ai-public-option.html		1022
2023-04-14	essay	The New Libertarian Elitists – with Hugo Mercier and Melissa Schwartzberg	https://henryfarrell.net/the-new-libertarian-elitists-with-hugo-mercier-melissa-schwartzberg/	https://democracyjournal.org/magazine/68/the-new-libertarian-elitists/		3223
2023-02-28	academic-article	Reducing the Transactional Value of Identity & Race – with Margaret Levi	https://henryfarrell.net/reducing-the-transactional-value-of-identity-race/	https://doi.org/10.1162/daed_a_01974		10678
2022-11-15	essay	El Comercio como Arma: Europa entre Estados Unidos y China	https://henryfarrell.net/el-comercio-como-arma-europa-entre-estados-unidos-y-china/	https://elpais.com/opinion/2022-11-15/el-comercio-como-arma-europa-entre-estados-unidos-y-china.html		2037
2022-10-13	essay	Tornado Cash Is Not Free Speech. It’s a Golem – with Bruce Schneier	https://henryfarrell.net/tornado-cash-is-not-free-speech-its-a-golem-with-bruce-schneier/	https://www.lawfareblog.com/tornado-cash-not-free-speech-its-golem		3068
2022-08-31	essay	Spirals of Delusion: How AI Distorts Decision-Making and Makes Dictators More Dangerous – with Abraham Newman and Jeremy Wallace	https://henryfarrell.net/spirals-of-delusion-how-ai-distorts-decision-making-and-makes-dictators-more-dangerous-with-abraham-newman-and-jeremy-wallace/	https://www.foreignaffairs.com/world/spirals-delusion-artificial-intelligence-decision-making		867
2022-05-09	academic-article,essay	Weak Links in Finance and Supply Chains are Easily Weaponized – with Abraham Newman	https://henryfarrell.net/weak-links-in-finance-and-supply-chains-are-easily-weaponized-with-abraham-newman/	https://www.nature.com/articles/d41586-022-01254-5		725
2022-03-22	essay	The U.S. Is the Only Sanctions Superpower. It Must Use That Power Wisely. – with Abraham Newman	https://henryfarrell.net/the-u-s-is-the-only-sanctions-superpower-it-must-use-that-power-wisely/	https://www.nytimes.com/2022/03/16/opinion/us-russia-sanctions-power-economy.html		2015
2022-03-01	essay	The Modern History of Economic Sanctions	https://henryfarrell.net/the-modern-history-of-economic-sanctions/	https://www.lawfareblog.com/modern-history-economic-sanctions		3305
2021-06-18	essay	Joe Biden’s Foreign Foray is All About Shoring Up Democracy – In the US	https://henryfarrell.net/joe-bidens-foreign-foray-is-all-about-shoring-up-democracy-in-the-us/	https://www.theguardian.com/commentisfree/2021/jun/18/joe-biden-democracy-us-president-visit-europe-domestic-politics		2068
2021-05-24	interview	Interview with Sean Carroll on “Democracy as a Problem-Solving Mechanism”, Mindscape	https://henryfarrell.net/interview-with-sean-carroll-on-democracy-as-a-problem-solving-mechanism-mindscape/	http://bactra.org/	https://www.preposterousuniverse.com/podcast/2021/05/24/148-henry-farrell-on-democracy-as-a-problem-solving-mechanism/	968
2021-05-24	essay	Rechanneling Beliefs: How Information Flows Help or Hinder Democracy with Bruce Schneier	https://henryfarrell.net/rechanneling-beliefs-how-information-flows-help-or-hinder-democracy-with-bruce-schneier/	https://snfagora.jhu.edu/publication/rechanneling-beliefs/		2781
2021-05-20	essay	Grassroots’ Bot Campaigns are Coming. Governments Don’t Have a Plan to Stop Them with Bruce Schneier	https://henryfarrell.net/grassroots-bot-campaigns-are-coming-governments-dont-have-a-plan-to-stop-them-with-bruce-schneier/	https://www.washingtonpost.com/outlook/2021/05/20/ai-bots-grassroots-astroturf/		1835
2021-05-13	academic-article	Useful for What and Useful to Whom? IR and Its Public – with Jack Knight	https://henryfarrell.net/useful-for-what-and-useful-to-whom-ir-and-its-public/	https://doi.org/10.1093/isr/viab019		1114
2021-04-26	book-chapter	“Great Britain: Falling Through the Holes in the Network Concept,” in Local Production Systems in Europe: Rise or Demise? – with Colin Crouch – ed. Colin Crouch et al.	https://henryfarrell.net/great-britain-falling-through-the-holes-in-the-network-concept-in-local-production-systems-in-europe-rise-or-demise-with-colin-crouch-ed-colin-crouch-et-al/	https://academic.oup.com/book/52194/chapter-abstract/421080507?redirectedFrom=fulltext		1381
2021-04-04	essay	The New Age of Protectionism – with Abraham Newman	https://henryfarrell.net/the-new-age-of-protectionism-with-abraham-newman/	https://www.foreignaffairs.com/articles/europe/2021-04-05/new-age-protectionism		806
2021-03-02	book-chapter	Weaponized Interdependence and Networked Coercion: A Research Agenda – with Abraham Newman	https://henryfarrell.net/weaponized-interdependence-and-networked-coercion-a-research-agenda-with-abraham-newman/	https://www.amazon.com/Uses-Abuses-Weaponized-Interdependence/dp/0815738374?crid=39C7LZ1FIAY07&amp;keywords=weaponized+interdependence&amp;qid=1639972796&amp;sprefix=weaponized+inter,aps,82&amp;sr=8-1&amp;linkCode=sl1&amp;tag=henryfarrell-20&amp;linkId=8ef1ea6c5174599bfc34693739cee8f9&amp;language=en_US&amp;ref_=as_li_ss_tl	https://www.amazon.com/Uses-Abuses-Weaponized-Interdependence/dp/0815738374?crid=39C7LZ1FIAY07&amp;keywords=weaponized+interdependence&amp;qid=1639972796&amp;sprefix=weaponized+inter,aps,82&amp;sr=8-1&amp;linkCode=sl1&amp;tag=henryfarrell-20&amp;linkId=8ef1ea6c5174599bfc34693739cee8f9&amp;language=en_US&amp;ref_=as_li_ss_tl	943
2021-03-02	book-chapter	“Weaponized Interdependence and Networked Coercion: A Research Agenda,” in The Uses and Abuses of Weaponized Interdependence – with Abraham Newman – eds. Daniel Drezner, Henry Farrell and Abraham Newman	https://henryfarrell.net/weaponized-interdependence-and-networked-coercion-a-research-agenda-the-uses-and-abuses-of-weaponized-interdependence-with-abraham-newman-eds-daniel-drezner-henry-farrell-and-abraham-newman/			3785
2021-02-09	academic-article	The Janus Face of the Liberal International Information Order: When Global Institutions are Self-Undermining – with Abraham Newman	https://henryfarrell.net/the-janus-face-of-the-liberal-international-information-order-when-global-institutions-are-self-undermining/	https://doi.org/10.1017/S0020818320000302		1407
2021-01-07	essay	A Cynical Election Ploy Like Hawley and Cruz’s Looks Harmless. Until It Isn’t with Elizabeth Saunders	https://henryfarrell.net/a-cynical-election-ploy-like-hawley-and-cruzs-looks-harmless-until-it-isnt-with-elizabeth-saunders/	https://www.washingtonpost.com/outlook/a-cynical-ploy-like-hawley-and-cruzs-looks-harmless-until-it-isnt/2021/01/07/9ce6d10e-5091-11eb-b96e-0e54447b23a1_story.html		727
2020-11-23	essay	What Makes Trump’s Subversion Efforts So Alarming? His Collaborators – with Bruce Schneier	https://henryfarrell.net/what-makes-trumps-subversion-efforts-so-alarming-his-collaborators-with-bruce-schneier/	https://www.nytimes.com/2020/11/23/opinion/trump-republicans-election-2020.html		1480
2020-09-08	book-chapter	Public Governance and Global Politics after COVID-19, COVID-19 and World Order: The Future of Conflict, Competition, and Cooperation – with Hahrie Han – eds. Hal Brand and Francis J. Gavin	https://henryfarrell.net/public-governance-and-global-politics-after-covid-19-covid-19-and-world-order-the-future-of-conflict-competition-and-cooperation-with-hahrie-han-eds-hal-brand-and-francis-j-gavin/	https://muse.jhu.edu/chapter/2696567/pdf		1474
2020-07-04	essay	This Is What the Future of Globalization Will Look Like – with Abraham Newman	https://henryfarrell.net/this-is-what-the-future-of-globalization-will-look-like-with-abraham-newman/	https://foreignpolicy.com/2020/07/04/this-is-what-the-future-of-globalization-will-look-like/		778
2020-06-03	essay	The Folly of Decoupling From China – with Abraham Newman	https://henryfarrell.net/the-folly-of-decoupling-from-china-with-abraham-newman/	https://www.foreignaffairs.com/articles/china/2020-06-03/folly-decoupling-china		723
2020-05-01	interview	Interview with Sophie Roell on “The Best Books on the Politics of Information”	https://henryfarrell.net/interview-with-sophie-roell-on-the-best-books-on-the-politics-of-information/	https://www.economist.com/christmas-specials/2019/12/18/can-technology-plan-economies-and-destroy-democracy	https://fivebooks.com/best-books/politics-of-information-henry-farrell/	2368
2020-04-03	essay	A Most Lonely Union	https://henryfarrell.net/a-most-lonely-union/	https://foreignpolicy.com/2020/04/03/brexit-european-union-deglobalization/		985
2020-04-01	interview	“Panopticons and Chokepoints,” an interview with Richard Byrne	https://henryfarrell.net/panopticons-and-chokepoints-an-interview-with-richard-byrne/	https://www.wilsonquarterly.com/quarterly/who-writes-the-rules/panopticons-and-chokepoints		798
2020-04-01	essay	The Dangers of Moving All of Democracy Online with Marion Fourcade	https://henryfarrell.net/the-dangers-of-moving-all-of-democracy-online-with-marion-fourcade/	https://www.wired.com/story/opinion-the-dangers-of-moving-all-of-democracy-online/		312
2020-03-23	essay	Will Governments Restrict Foreign Access to Pandemic Supplies? – with Abraham Newman	https://henryfarrell.net/will-governments-restrict-foreign-access-to-pandemic-supplies-with-abraham-newman/	https://hbr.org/2020/03/will-governments-restrict-foreign-access-to-pandemic-supplies		2829
2020-03-16	essay	Will the Coronavirus End Globalization as We Know It? – with Abraham Newman	https://henryfarrell.net/will-the-coronavirus-end-globalization-as-we-know-it-with-abraham-newman/	https://www.foreignaffairs.com/articles/2020-03-16/will-coronavirus-end-globalization-we-know-it		793
2020-01-24	essay	The Twilight of America’s Financial Empire – with Abraham Newman	https://henryfarrell.net/the-twilight-of-americas-financial-empire-with-abraham-newman/	https://www.foreignaffairs.com/articles/2020-01-24/twilight-americas-financial-empire		761
2020-01-20	essay	In praise of negativity	https://henryfarrell.net/in-praise-of-negativity/	https://statmodeling.stat.columbia.edu/2020/07/22/is-it-better-to-be-more-positive/	https://amzn.to/2CZwZSr | https://amzn.to/39nP6gV | https://crookedtimber.org/2020/07/24/in-praise-of-negativity/	2078
2020-01-01	essay	Choke Points – with Abraham Newman	https://henryfarrell.net/choke-points-with-abraham-newman/	https://hbr.org/2020/01/choke-points		2082
2019-12-12	essay	Socialists Will Never Understand Elizabeth Warren (I’d have chosen a different title)	https://henryfarrell.net/socialists-will-never-understand-elizabeth-warren-id-have-chosen-a-different-title/	https://foreignpolicy.com/2019/12/12/elizabeth-socialist-understand-capitalism-pro-market-leftist/		731
2019-12-10	essay	Chained to Globalization – with Abraham Newman	https://henryfarrell.net/chained-to-globalization/	https://books.google.com/books?id=z8AiJOqO8rEC&amp;pg=PT361&amp;lpg=PT361&amp;dq=%22system+built+around+walls+to+a+system+increasingly+built+around+networks%22&amp;source=bl&amp;ots=f0RuS7nkXo&amp;sig=ACfU3U2fHdtX2czDbnO_mUJzOHTRNQA0Sw&amp;hl=en&amp;sa=X&amp;ved=2ahUKEwiyubSUndblAhUPy1kKHTiaCjkQ6AEwAXoECAYQAQ#v=onepage&amp;q&amp;f=false	https://www.foreignaffairs.com/articles/united-states/2019-12-10/chained-globalization	677
2019-10-23	interview	Interview with economist Tyler Cowen on Weaponized Interdependence, Big Tech, and Playing with Ideas	https://henryfarrell.net/interview-with-economist-tyler-cowen-on-weaponized-interdependence-big-tech-and-playing-with-ideas/	https://conversationswithtyler.com/episodes/henry-farrell/		887
2019-09-01	essay	Weaponized Globalization: Huawei and the Emerging Battle over 5G Networks – with Abraham Newman	https://henryfarrell.net/weaponized-globalization-huawei-and-the-emerging-battle-over-5g-networks-with-abraham-newman/	http://www.globalasia.org/v14no3/cover/weaponized-globalization-huawei-and-the-emerging-battle-over-5g-networks_henry-farrellabraham-newman		3134
2019-09-01	essay	US and China are Weaponising Global Trade Networks – with Abraham Newman	https://henryfarrell.net/us-and-china-are-weaponising-global-trade-networks-with-abraham-newman/	https://www.ft.com/content/a8ab8cd2-c99c-11e9-af46-b09e8bfe60c0		173
2019-08-02	essay	Don’t Ask How to Pay for Climate Change. Ask Who	https://henryfarrell.net/dont-ask-how-to-pay-for-climate-change-ask-who/	https://www.wired.com/story/dont-ask-how-to-pay-for-climate-change-ask-who/		2413
2019-07-31	essay	Introducing a New Paper on Weaponized Interdependence – with Abraham Newman	https://henryfarrell.net/introducing-a-new-paper-on-weaponized-interdependence-with-abraham-newman/	https://www.lawfareblog.com/introducing-new-paper-weaponized-interdependence		2796
2019-07-01	academic-article	Weaponized Interdependence: How Global Economic Networks Shape State Coercion – with Abraham Newman	https://henryfarrell.net/weaponized-interdependence-how-global-economic-networks-shape-state-coercion/	https://doi.org/10.1162/isec_a_00351		1881
2019-06-20	essay	Weaponized Interdependence – with Abraham Newman	https://henryfarrell.net/weaponized-interdependence/	https://www.dropbox.com/scl/fi/5wcqp320thc9sqj8in7zx/Weaponized-Interdependence_IS_Submission.pdf?rlkey=m97x5jke1rdwexauuadx7tbp5&amp;e=1&amp;dl=0		1641
2019-05-15	essay	“Democracy’s Dilemma” with responses from Riana Pfefferkorn, Joseph Nye, Anna Grzymala-Busse, Allison Berke, Jason Healey, Astra Taylor and danah boyd, and a reply to the responses by Henry Farrell and Bruce Schneier. with Bruce Schneier	https://henryfarrell.net/democracys-dilemma-with-responses-from-riana-pfefferkorn-joseph-nye-anna-grzymala-busse-allison-berke-jason-healey-astra-taylor-and-danah-boyd-and-a-reply-to-the-responses-by-henry-farrell-an/	https://bostonreview.net/forum-henry-farrell-bruce-schneier-democracys-dilemma		2036
2019-05-14	essay	Democracy’s Dilemma – with Bruce Schneier	https://henryfarrell.net/democracys-dilemma-with-bruce-schneier/	https://www.bostonreview.net/forum/forum-henry-farrell-bruce-schneier-democracys-dilemma/		2150
2019-04-24	essay	By Punishing Iran, Trump is Weakening America – with Abraham Newman	https://henryfarrell.net/by-punishing-iran-trump-is-weakening-america-with-abraham-newman/	https://foreignpolicy.com/2019/04/24/by-punishing-iran-trump-is-weakening-america/		1099
2019-04-15	essay	America’s Misuse of Its Financial Infrastructure – with Abraham Newman	https://henryfarrell.net/americas-misuse-of-its-financial-infrastructure-with-abraham-newman/	https://nationalinterest.org/feature/america%E2%80%99s-misuse-its-financial-infrastructure-52707		3494
2019-04-05	essay	Facebook is Finally Learning to Love Privacy Laws (and Abraham Newman)	https://henryfarrell.net/facebook-is-finally-learning-to-love-privacy-laws-and-abraham-newman/	https://www.ft.com/content/67b25894-5621-11e9-8b71-f5b0066105fe		147
2019-03-10	essay	How Political Science Can Be Most Useful – with Jack Knight	https://henryfarrell.net/how-political-science-can-be-most-useful-with-jack-knight/	https://www.chronicle.com/article/How-Political-Science-Can-Be/245852		854
2019-01-28	essay	Defending Democratic Mechanisms and Institutions against Disinformation Attacks – with Bruce Schneier	https://henryfarrell.net/defending-democratic-mechanisms-and-institutions-against-disinformationattacks-with-bruce-schneier/	https://www.schneier.com/essays/archives/2019/01/defending_democratic.html		3820
2018-12-11	book-chapter	Privatization as State Transformation	https://henryfarrell.net/privatization-as-state-transformation-nomos-60/	https://www.degruyter.com/document/doi/10.18574/nyu/9781479842933.003.0008/html		1668
2018-11-27	academic-article	Stability of Democracies: A Complex Systems Perspective – with Karoline Wiesner, Alvin Birdi, Tina Eliassi-Rad, David Garcia, Stephan Lewandowsky, Patricia Palacios, Don Ross, Didier Sornet and Karim Thebault	https://henryfarrell.net/stability-of-democracies-a-complex-systems-perspective/	https://iopscience.iop.org/article/10.1088/1361-6404/aaeb4d		1071
2018-11-20	essay	Is a No Deal” Brexit Still Avoidable? Why the Irish Border Remains a Stumbling Block for Negotiations	https://henryfarrell.net/is-a-no-deal-brexit-still-avoidable-why-the-irish-border-remains-a-stumbling-block-for-negotiations/	https://www.foreignaffairs.com/articles/united-kingdom/2018-11-20/no-deal-brexit-still-avoidable?cid=int-flb&#038;pgtype=hpg		612
2018-11-19	essay	The Most Damaging Election Disinformation Campaign Came From Donald Trump, Not Russia with Bruce Schneier	https://henryfarrell.net/the-most-damaging-election-disinformation-campaign-came-from-donald-trump-not-russia-with-bruce-schneier/	https://motherboard.vice.com/en_us/article/mbyg3x/the-most-damaging-election-disinformation-campaign-came-from-donald-trump-not-russia		1504
2018-11-15	essay	Information Attacks on Democracies – with Bruce Schneier	https://henryfarrell.net/information-attacks-on-democracies-with-bruce-schneier/	https://www.lawfareblog.com/information-attacks-democracies		2383
2018-11-07	essay	Three Moral Economies of Data – with Nils Gilman	https://henryfarrell.net/three-moral-economies-of-data-with-nils-gilman/	https://www.the-american-interest.com/2018/11/07/three-moral-economies-of-data/		3355
2018-11-05	essay	Hypocrisy is a Useful Tool in Foreign Affairs. Trump is Too Crude to Play the Game with Martha Finnemore	https://henryfarrell.net/hypocrisy-is-a-useful-tool-in-foreign-affairs-trump-is-too-crude-to-play-the-game-with-martha-finnemore/	https://www.washingtonpost.com/outlook/2018/11/05/hypocrisy-is-useful-tool-foreign-affairs-trump-is-too-crude-play-game/		1025
2018-11-01	essay	The Wrong Way to Punish Iran with Abraham Newman	https://henryfarrell.net/the-wrong-way-to-punish-iran-with-abraham-newman/	https://www.nytimes.com/2018/11/01/opinion/swift-iran-sanctions.html		1972
2018-08-31	academic-article	Linkage Politics and Complex Governance in Transatlantic Surveillance – with Abraham Newman	https://henryfarrell.net/linkage-politics-and-complex-governance-in-transatlantic-surveillance/	https://www.cambridge.org/core/journals/world-politics/article/linkage-politics-and-complex-governance-in-transatlantic-surveillance/6CBF7194339A846B585FF697F8827DD9		1648
2018-07-13	essay	The New Economy’s Old Business Model is Dead	https://henryfarrell.net/the-new-economys-old-business-model-is-dead/	https://foreignpolicy.com/2018/07/13/the-new-economys-old-business-model-is-dead-automation-jobs-ai-technology/		2137
2018-06-08	book-chapter	“The Shared Challenges of Institutional Theories: Rational Choice,” in Historical Institutionalism, and Sociological Institutionalism, Knowledge and Institutions – eds. Johannes Glückler, Roy Suddaby and Regina Lenz	https://henryfarrell.net/the-shared-challenges-of-institutional-theories-rational-choice-historical-institutionalism-and-sociological-institutionalism-knowledge-and-institutions-eds-johannes-gluckler-roy-suddaby-an/	https://link.springer.com/chapter/10.1007/978-3-319-75328-7_2		1291
2018-05-10	essay	“The “Intellectual Dark Web,” Explained: What Jordan Peterson Has in Common with the Alt-Right”	https://henryfarrell.net/the-intellectual-dark-web-explained-what-jordan-peterson-has-in-common-with-the-alt-right/	https://www.vox.com/the-big-idea/2018/5/10/17338290/intellectual-dark-web-rogan-peterson-harris-times-weiss		1550
2018-04-10	essay	Mark Zuckerberg Runs a Nation-State, and He’s The King with Margaret Levi and Tim O’Reilly	https://henryfarrell.net/mark-zuckerberg-runs-a-nation-state-and-hes-the-king-with-margaret-levi-and-tim-oreilly/	https://www.vox.com/the-big-idea/2018/4/9/17214752/zuckerberg-facebook-power-regulation-data-privacy-control-political-theory-data-breach-king		1998
2018-03-29	essay	Northern Ireland’s Brexit Problem	https://henryfarrell.net/northern-irelands-brexit-problem/	https://www.foreignaffairs.com/articles/ireland/2018-03-29/northern-irelands-brexit-problem		658
