date	category	title	venue	source_url	retrieval	chars	fetched_file
2014-10-30	essay	Big Brother’s Liberal Friends	The National Interest	http://nationalinterest.org/feature/big-brother%E2%80%99s-liberal-friends-11515	failed	0	
2015-04-01	essay	Promoting Norms for Cyberspace	cfr.org	https://www.cfr.org/report/promoting-norms-cyberspace	live	11861	by/2015--hfn-promoting-norms-for-cyberspace.md
2015-12-14	essay	The Transatlantic Data War: Europe Fights Back against the NSA – with Abraham Newman	Foreign Affairs	https://www.foreignaffairs.com/articles/united-states/2015-12-14/transatlantic-data-war	live	25048	by/2015--hfn-the-transatlantic-data-war-europe-fights-back-against-t.md
2016-03-07	essay	Called Out: The Global Consequences of Apple’s Fight with the FBI	Foreign Affairs	https://www.foreignaffairs.com/articles/united-states/2016-03-07/called-out	live	9409	by/2016--hfn-called-out-the-global-consequences-of-apples-fight-with.md
2016-03-09	essay	Bitcoin is Losing the Midas Touch	Financial Times	https://www.ft.com/content/12e155dc-e5e4-11e5-a09b-1f8b0d268c39	live-or-wayback-2026-08-13	0	by/2016--wb-bitcoin-is-losing-the-midas-touch.md
2016-10-13	essay	How the Twilight of the Elites Explains Trump’s Appeal	Vox	http://www.vox.com/the-big-idea/2016/10/13/13259860/twilight-elites-trump-meritocracy	live	15387	by/2016--hfn-how-the-twilight-of-the-elites-explains-trumps-appeal.md
2016-04-22	essay	The Panama Papers and Thomas Piketty: How the Leak May Transform Politics	Foreign Affairs	https://www.foreignaffairs.com/articles/world/2016-04-22/panama-papers-and-thomas-piketty	live	10335	by/2016--hfn-the-panama-papers-and-thomas-piketty-how-the-leak-may-t.md
2016-07-25	essay	Globalized Green Lanternism	globalsummitry.oxfordjournals.org	http://globalsummitry.oxfordjournals.org/content/early/2016/07/25/global.guw005	failed	0	
2016-06-28	essay	The Irish Question: The Consequences of Brexit	Foreign Affairs	https://www.foreignaffairs.com/articles/ireland/2016-06-28/irish-question	live	12943	by/2016--hfn-the-irish-question-the-consequences-of-brexit.md
2016-02-29	essay	Here Be Dragons	Lawfare	https://www.lawfareblog.com/here-be-dragons	live-or-wayback-2026-08-13	0	by/2016--lawfare-here-be-dragons.md
2017-01-01	essay	Disunited Kingdom	Democracy: A Journal of Ideas	http://democracyjournal.org/magazine/43/disunited-kingdom/	live	31538	by/2017--hfn-disunited-kingdom.md
2017-09-04	essay	Brexit and the Northern Irish Border	Foreign Affairs	https://www.foreignaffairs.com/articles/western-europe/2017-09-04/brexit-and-northern-irish-border?cid=int-lea&#038;pgtype=hpg	live	12802	by/2017--hfn-brexit-and-the-northern-irish-border.md
2017-07-14	essay	Even the Intellectual Left is Drawn to Conspiracy Theories about the Right. Resist Them with Steven Teles	Vox	https://www.vox.com/the-big-idea/2017/7/14/15967788/democracy-shackles-james-buchanan-intellectual-history-maclean	live	20565	by/2017--hfn-even-the-intellectual-left-is-drawn-to-conspiracy-theor.md
2017-01-15	essay	Facebook and Falsehood	The Chronicle of Higher Education	https://www.chronicle.com/article/FacebookFalsehood/238867	live	8490	by/2017--hfn-facebook-and-falsehood.md
2017-10-16	essay	This Year’s Economics Nobel winner Invented a Tool That’s Both Brilliant and Undemocratic	Vox	https://www.vox.com/the-big-idea/2017/10/16/16481836/nudges-thaler-nobel-economics-prize-undemocratic-tool	live	19581	by/2017--hfn-this-years-economics-nobel-winner-invented-a-tool-thats.md
2017-12-19	essay	How Facebook Stymies Social Science	The Chronicle of Higher Education	https://www.chronicle.com/article/How-Facebook-Stymies-Social/242090	live	15957	by/2017--hfn-how-facebook-stymies-social-science.md
2017-09-25	essay	Revolutionary Possibility (on China Mieville’s October)	jacobinmag.com	https://www.jacobinmag.com/2017/09/china-mieville-october-russian-revolution	live-short	1349	by/2017--hfn-revolutionary-possibility-on-china-mievilles-october.md
2017-08-30	essay	When Politics Drives Scholarship – with Steve Teles	Boston Review	http://bostonreview.net/class-inequality/henry-farrell-steven-m-teles-when-politics-drives-scholarship	live	28839	by/2017--hfn-when-politics-drives-scholarship-with-steve-teles.md
2017-05-30	essay	Trump’s No Hypocrite: And That’s Bad News for the International Order – with Martha Finnemore	Foreign Affairs	https://www.foreignaffairs.com/articles/2017-05-30/trump-s-no-hypocrite	live	12604	by/2017--hfn-trumps-no-hypocrite-and-thats-bad-news-for-the-internat.md
2018-11-01	essay	The Wrong Way to Punish Iran with Abraham Newman	The New York Times	https://www.nytimes.com/2018/11/01/opinion/swift-iran-sanctions.html	live-or-wayback-2026-08-13	0	by/2018--nyt-the-wrong-way-to-punish-iran.md
2018-02-04	essay	Our Hackable Political Future The New York Times with Rick Perlstein	The New York Times	https://www.nytimes.com/2018/02/04/opinion/hacking-politics-future.html	live-or-wayback-2026-08-13	0	by/2018--wb-our-hackable-political-future-the-new-york-times-with-r.md
2018-11-05	essay	Hypocrisy is a Useful Tool in Foreign Affairs. Trump is Too Crude to Play the Game with Martha Finnemore	The Washington Post	https://www.washingtonpost.com/outlook/2018/11/05/hypocrisy-is-useful-tool-foreign-affairs-trump-is-too-crude-play-game/	live-or-wayback-2026-08-13	0	by/2018--wapo-hypocrisy-is-a-useful-tool-in-foreign-affairs.md
2018-11-07	essay	Three Moral Economies of Data – with Nils Gilman	The American Interest	https://www.the-american-interest.com/2018/11/07/three-moral-economies-of-data/	live	24336	by/2018--hfn-three-moral-economies-of-data-with-nils-gilman.md
2018-05-10	essay	“The “Intellectual Dark Web,” Explained: What Jordan Peterson Has in Common with the Alt-Right”	Vox	https://www.vox.com/the-big-idea/2018/5/10/17338290/intellectual-dark-web-rogan-peterson-harris-times-weiss	live	12870	by/2018--hfn-the-intellectual-dark-web-explained-what-jordan-peterso.md
2018-04-10	essay	Mark Zuckerberg Runs a Nation-State, and He’s The King with Margaret Levi and Tim O’Reilly	Vox	https://www.vox.com/the-big-idea/2018/4/9/17214752/zuckerberg-facebook-power-regulation-data-privacy-control-political-theory-data-breach-king	live	18412	by/2018--hfn-mark-zuckerberg-runs-a-nation-state-and-hes-the-king-wi.md
2018-07-13	essay	The New Economy’s Old Business Model is Dead	Foreign Policy	https://foreignpolicy.com/2018/07/13/the-new-economys-old-business-model-is-dead-automation-jobs-ai-technology/	live	17766	by/2018--hfn-the-new-economys-old-business-model-is-dead.md
2018-11-15	essay	Information Attacks on Democracies – with Bruce Schneier	Lawfare	https://www.lawfareblog.com/information-attacks-democracies	live-or-wayback-2026-08-13	0	by/2018--lawfare-information-attacks-on-democracies.md
2018-01-17	essay	American Democracy is an Easy Target	Foreign Policy	http://foreignpolicy.com/2018/01/17/american-democracy-was-asking-for-it/	live	20923	by/2018--hfn-american-democracy-is-an-easy-target.md
2018-01-17	essay	Saving Democratic Institutions from Corrupting Markets	cato-unbound.org	https://www.cato-unbound.org/2018/01/17/henry-farrell/saving-democratic-institutions-corrupting-markets	live	11447	by/2018--hfn-saving-democratic-institutions-from-corrupting-markets.md
2018-11-19	essay	The Most Damaging Election Disinformation Campaign Came From Donald Trump, Not Russia with Bruce Schneier	Motherboard (VICE)	https://motherboard.vice.com/en_us/article/mbyg3x/the-most-damaging-election-disinformation-campaign-came-from-donald-trump-not-russia	live-or-wayback-2026-08-13	0	by/2018--motherboard-the-most-damaging-election-disinformation-campaig.md
2018-11-20	essay	Is a No Deal” Brexit Still Avoidable? Why the Irish Border Remains a Stumbling Block for Negotiations	Foreign Affairs	https://www.foreignaffairs.com/articles/united-kingdom/2018-11-20/no-deal-brexit-still-avoidable?cid=int-flb&#038;pgtype=hpg	live	14532	by/2018--hfn-is-a-no-deal-brexit-still-avoidable-why-the-irish-borde.md
2018-03-29	essay	Northern Ireland’s Brexit Problem	Foreign Affairs	https://www.foreignaffairs.com/articles/ireland/2018-03-29/northern-irelands-brexit-problem	live	13826	by/2018--hfn-northern-irelands-brexit-problem.md
2019-09-01	essay	US and China are Weaponising Global Trade Networks – with Abraham Newman	Financial Times	https://www.ft.com/content/a8ab8cd2-c99c-11e9-af46-b09e8bfe60c0	wayback	630	by/2019--ft-us-and-china-are-weaponising-global-trade-networks.md
2019-09-01	essay	Weaponized Globalization: Huawei and the Emerging Battle over 5G Networks – with Abraham Newman	globalasia.org	http://www.globalasia.org/v14no3/cover/weaponized-globalization-huawei-and-the-emerging-battle-over-5g-networks_henry-farrellabraham-newman	live	29652	by/2019--hfn-weaponized-globalization-huawei-and-the-emerging-battle.md
2019-08-02	essay	Don’t Ask How to Pay for Climate Change. Ask Who	WIRED	https://www.wired.com/story/dont-ask-how-to-pay-for-climate-change-ask-who/	live	5159	by/2019--hfn-dont-ask-how-to-pay-for-climate-change-ask-who.md
2019-04-05	essay	Facebook is Finally Learning to Love Privacy Laws (and Abraham Newman)	Financial Times	https://www.ft.com/content/67b25894-5621-11e9-8b71-f5b0066105fe	live-short	2206	by/2019--hfn-facebook-is-finally-learning-to-love-privacy-laws-and-a.md
2019-03-10	essay	How Political Science Can Be Most Useful – with Jack Knight	The Chronicle of Higher Education	https://www.chronicle.com/article/How-Political-Science-Can-Be/245852	live-or-wayback-2026-08-13	0	by/2019--chronicle-how-political-science-can-be-most-useful.md
2019-12-12	essay	Socialists Will Never Understand Elizabeth Warren (I’d have chosen a different title)	Foreign Policy	https://foreignpolicy.com/2019/12/12/elizabeth-socialist-understand-capitalism-pro-market-leftist/	live	15054	by/2019--hfn-socialists-will-never-understand-elizabeth-warren-id-ha.md
2019-05-15	essay	“Democracy’s Dilemma” with responses from Riana Pfefferkorn, Joseph Nye, Anna Grzymala-Busse, Allison Berke, Jason Healey, Astra Taylor and danah boyd, and a reply to the responses by Henry Farrell and Bruce Schneier. with Bruce Schneier	Boston Review	https://bostonreview.net/forum-henry-farrell-bruce-schneier-democracys-dilemma	live	30529	by/2019--hfn-democracys-dilemma-with-responses-from-riana-pfefferkor.md
2019-04-15	essay	America’s Misuse of Its Financial Infrastructure – with Abraham Newman	The National Interest	https://nationalinterest.org/feature/america%E2%80%99s-misuse-its-financial-infrastructure-52707	live-or-wayback-2026-08-13	0	by/2019--nationalinterest-americas-misuse-of-its-financial-infrastructure.md
2019-04-24	essay	By Punishing Iran, Trump is Weakening America – with Abraham Newman	Foreign Policy	https://foreignpolicy.com/2019/04/24/by-punishing-iran-trump-is-weakening-america/	live	13167	by/2019--hfn-by-punishing-iran-trump-is-weakening-america-with-abrah.md
2019-01-28	essay	Defending Democratic Mechanisms and Institutions against Disinformation Attacks – with Bruce Schneier	schneier.com	https://www.schneier.com/essays/archives/2019/01/defending_democratic.html	live	13979	by/2019--hfn-defending-democratic-mechanisms-and-institutions-agains.md
2019-07-31	essay	Introducing a New Paper on Weaponized Interdependence – with Abraham Newman	Lawfare	https://www.lawfareblog.com/introducing-new-paper-weaponized-interdependence	live	14592	by/2019--lawfare-introducing-a-new-paper-on-weaponized-interdependence.md
2020-04-01	essay	The Dangers of Moving All of Democracy Online with Marion Fourcade	WIRED	https://www.wired.com/story/opinion-the-dangers-of-moving-all-of-democracy-online/	live	8035	by/2020--hfn-the-dangers-of-moving-all-of-democracy-online-with-mari.md
2020-01-01	essay	Choke Points – with Abraham Newman	Harvard Business Review	https://hbr.org/2020/01/choke-points	live-short	720	
2020-06-03	essay	The Folly of Decoupling From China – with Abraham Newman	Foreign Affairs	https://www.foreignaffairs.com/articles/china/2020-06-03/folly-decoupling-china	live	14583	by/2020--hfn-the-folly-of-decoupling-from-china-with-abraham-newman.md
2020-04-03	essay	A Most Lonely Union	Foreign Policy	https://foreignpolicy.com/2020/04/03/brexit-european-union-deglobalization/	live	22389	by/2020--hfn-a-most-lonely-union.md
2020-07-04	essay	This Is What the Future of Globalization Will Look Like – with Abraham Newman	Foreign Policy	https://foreignpolicy.com/2020/07/04/this-is-what-the-future-of-globalization-will-look-like/	live	26221	by/2020--hfn-this-is-what-the-future-of-globalization-will-look-like.md
2020-03-16	essay	Will the Coronavirus End Globalization as We Know It? – with Abraham Newman	Foreign Affairs	https://www.foreignaffairs.com/articles/2020-03-16/will-coronavirus-end-globalization-we-know-it	live	13999	by/2020--hfn-will-the-coronavirus-end-globalization-as-we-know-it-wi.md
2020-11-23	essay	What Makes Trump’s Subversion Efforts So Alarming? His Collaborators – with Bruce Schneier	The New York Times	https://www.nytimes.com/2020/11/23/opinion/trump-republicans-election-2020.html	live-or-wayback-2026-08-13	0	by/2020--nyt-what-makes-trumps-subversion-efforts-so-alarming.md
2020-03-23	essay	Will Governments Restrict Foreign Access to Pandemic Supplies? – with Abraham Newman	Harvard Business Review	https://hbr.org/2020/03/will-governments-restrict-foreign-access-to-pandemic-supplies	live-short	1612	by/2020--hfn-will-governments-restrict-foreign-access-to-pandemic-su.md
2020-01-24	essay	The Twilight of America’s Financial Empire – with Abraham Newman	Foreign Affairs	https://www.foreignaffairs.com/articles/2020-01-24/twilight-americas-financial-empire	live	15145	by/2020--hfn-the-twilight-of-americas-financial-empire-with-abraham.md
2021-04-04	essay	The New Age of Protectionism – with Abraham Newman	Foreign Affairs	https://www.foreignaffairs.com/articles/europe/2021-04-05/new-age-protectionism	live	16518	by/2021--hfn-the-new-age-of-protectionism-with-abraham-newman.md
2021-01-07	essay	A Cynical Election Ploy Like Hawley and Cruz’s Looks Harmless. Until It Isn’t with Elizabeth Saunders	The Washington Post	https://www.washingtonpost.com/outlook/a-cynical-ploy-like-hawley-and-cruzs-looks-harmless-until-it-isnt/2021/01/07/9ce6d10e-5091-11eb-b96e-0e54447b23a1_story.html	live-or-wayback-2026-08-13	0	by/2021--wapo-a-cynical-ploy-like-hawley-and-cruzs-looks-harmless.md
2021-06-18	essay	Joe Biden’s Foreign Foray is All About Shoring Up Democracy – In the US	The Guardian	https://www.theguardian.com/commentisfree/2021/jun/18/joe-biden-democracy-us-president-visit-europe-domestic-politics	live	6590	by/2021--hfn-joe-bidens-foreign-foray-is-all-about-shoring-up-democr.md
2021-05-20	essay	Grassroots’ Bot Campaigns are Coming. Governments Don’t Have a Plan to Stop Them with Bruce Schneier	The Washington Post	https://www.washingtonpost.com/outlook/2021/05/20/ai-bots-grassroots-astroturf/	live-or-wayback-2026-08-13	0	by/2021--wapo-grassroots-bot-campaigns-are-coming.md
2021-05-24	essay	Rechanneling Beliefs: How Information Flows Help or Hinder Democracy with Bruce Schneier	snfagora.jhu.edu	https://snfagora.jhu.edu/publication/rechanneling-beliefs/	live-or-wayback-2026-08-13	0	by/2021--wb-rechanneling-beliefs-how-information-flows-help-or-hind.md
2022-03-01	essay	The Modern History of Economic Sanctions	Lawfare	https://www.lawfareblog.com/modern-history-economic-sanctions	live-or-wayback-2026-08-13	20080	by/2022--lawfare-the-modern-history-of-economic-sanctions.md
2022-10-13	essay	Tornado Cash Is Not Free Speech. It’s a Golem – with Bruce Schneier	Lawfare	https://www.lawfareblog.com/tornado-cash-not-free-speech-its-golem	live-or-wayback-2026-08-13	0	by/2022--lawfare-tornado-cash-is-not-free-speech-its-a-golem.md
2022-11-15	essay	El Comercio como Arma: Europa entre Estados Unidos y China	El País	https://elpais.com/opinion/2022-11-15/el-comercio-como-arma-europa-entre-estados-unidos-y-china.html	live	7015	by/2022--hfn-el-comercio-como-arma-europa-entre-estados-unidos-y-chi.md
2022-08-31	essay	Spirals of Delusion: How AI Distorts Decision-Making and Makes Dictators More Dangerous – with Abraham Newman and Jeremy Wallace	Foreign Affairs	https://www.foreignaffairs.com/world/spirals-delusion-artificial-intelligence-decision-making	live	32238	by/2022--hfn-spirals-of-delusion-how-ai-distorts-decision-making-and.md
2023-09-02	essay	American Influence: Ireland Must Focus on Economic Security as Arena of Vulnerability	The Irish Times	https://www.irishtimes.com/culture/books/2023/09/02/american-influence-ireland-must-focus-on-economic-security-as-arena-of-vulnerability/	live	11062	by/2023--hfn-american-influence-ireland-must-focus-on-economic-secur.md
2023-09-09	essay	How the U.S. Stumbled Into Using Chips as a Weapon Against China – with Abraham Newman	The Wall Street Journal	https://www.wsj.com/politics/policy/how-the-u-s-stumbled-into-using-chips-as-a-weapon-against-china-ec37e32	live-or-wayback-2026-08-13	0	by/2023--wsj-how-the-us-stumbled-into-using-chips-as-a-weapon-against-china.md
2023-10-11	essay	What If These Economic Weapons Fall into Trump’s Hands? – with Abraham Newman	The New York Times	https://www.nytimes.com/2023/10/11/opinion/biden-trump-economic-weapons.html	live-or-wayback-2026-08-13	0	by/2023--nyt-what-if-these-economic-weapons-fall-into-trumps-hands.md
2023-12-12	essay	AI’s Big Rift is Like a Religious Schism	The Economist	https://www.economist.com/by-invitation/2023/12/12/ais-big-rift-is-like-a-religious-schism-says-henry-farrell	live-or-wayback-2026-08-13	0	by/2023--wb-ais-big-rift-is-like-a-religious-schism.md
2023-09-12	essay	How a Single Hard-Charging CEO Helped the US Dollar Take Over the World – with Abraham Newman	Business Insider	https://www.businessinsider.com/how-us-dollar-became-dominant-citibank-walter-wriston-2023-9	live-short	1400	by/2023--hfn-how-a-single-hard-charging-ceo-helped-the-us-dollar-tak.md
2023-10-19	essay	The New Economic Security State: How De-Risking Will Remake Geopolitics – with Abraham Newman	Foreign Affairs	https://www.foreignaffairs.com/united-states/economic-security-state-farrell-newman	live	36197	by/2023--hfn-the-new-economic-security-state-how-de-risking-will-rem.md
