year	openalex_id	all_openalex_ids	title	venue	type	cited_by	oa_status	file	notes
2026	W7172126379	W7172126379	Decision-Making with AI Assistance in Investment Tasks	Open MIND	journal-article	0	green	by/2026--decision-making-with-ai-assistance-in-investment-tasks.md	preprint version
2026	W7118458270	W7118458270	Deep versus broad technology search and the timing of innovation impact	Technological Forecasting and Social Change	journal-article	1	closed	by/2026--deep-versus-broad-technology-search-and-the-timing-of.md	
2026	W7196951425	W7196951425	Designing A Scalable LLM Agent Framework for Large-scale Urban Segregation Simulation		journal-article	0	gold	by/2026--designing-a-scalable-llm-agent-framework-for-large-scale.md	
2026	W7122504065	W7122504065 W4404311504 W4414385407	Designing AI-Agents With Personalities: A Psychometric Approach	Personality Science	journal-article	3	diamond	by/2026--designing-ai-agents-with-personalities-a-psychometric-approach.md	OpenAlex duplicates merged: W7122504065 W4404311504 W4414385407
2026	W7169528358	W7169528358	Dialogue Across Divides: How Language Governs Exchange, Power, and Belonging	Academy of Management Proceedings	journal-article	0	closed	by/2026--dialogue-across-divides-how-language-governs-exchange-power-and.md	conference abstract
2026	W7170225081	W7170225081	Discovery by Dreaming: Cross-Domain Recombination in Artificial Memory	arXiv (Cornell University)	journal-article	0	green	by/2026--discovery-by-dreaming-cross-domain-recombination-in-artificial-memory.md	preprint version
2026	W7162867688	W7162867688	Editorial: Social Computing at Scale — Trust, Behavior, and System Design	ACM Transactions on Social Computing	journal-article	0	closed	by/2026--editorial-social-computing-at-scale-trust-behavior-and-system.md	
2026	W7140130684	W7140130684	Generative AI for climate governance and acceptability-constrained policy design	npj Climate Action	journal-article	0	diamond	by/2026--generative-ai-for-climate-governance-and-acceptability-constrained-policy.md	
2026	W7165569006	W7165569006	Geographic Patterns in Public Response to China’s National Childcare Subsidy: A Large-Scale Social Media Analysis	Communications in computer and information science	journal-article	0	closed	by/2026--geographic-patterns-in-public-response-to-chinas-national-childcare.md	
2026	W7165742293	W7165742293	Institutions as cached computation for resource-rational negotiation	Behavioral and Brain Sciences	journal-article	0	closed	by/2026--institutions-as-cached-computation-for-resource-rational-negotiation.md	
2026	W7168643332	W7168643332	Localized Cultural Knowledge is Conserved and Controllable in Large Language Models	Underline Science Inc.	journal-article	0	green	by/2026--localized-cultural-knowledge-is-conserved-and-controllable-in-large.md	
2026	W7162693580	W7162693580 W7162818174	Narrative Flattening: How Post-Training Compresses Thematic, Affective, and Stylistic Variation in LLM Fiction	arXiv (Cornell University)	journal-article	0	green	by/2026--narrative-flattening-how-post-training-compresses-thematic-affective-and.md	preprint version; OpenAlex duplicates merged: W7162693580 W7162818174
2026	W7131395659	W7131395659 W7131475734	PreScience: A Dataset and Benchmark for Scientific Forecasting	Open MIND	journal-article	0	green	by/2026--prescience-a-dataset-and-benchmark-for-scientific-forecasting.md	OpenAlex duplicates merged: W7131395659 W7131475734
2026	W7124763227	W7124763227 W7124817959	Reasoning Models Generate Societies of Thought	arXiv (Cornell University)	journal-article	0	green	by/2026--reasoning-models-generate-societies-of-thought.md	preprint version; OpenAlex duplicates merged: W7124763227 W7124817959
2026	W7135234341	W7135234341 W4396812689 W4411768442	Socio-Epistemic Bubbles and Tacit Confidence in Randomized Controlled Trials	Social Studies of Science	journal-article	0	closed	by/2026--socio-epistemic-bubbles-and-tacit-confidence-in-randomized-controlled.md	OpenAlex duplicates merged: W7135234341 W4396812689 W4411768442
2026	W7136078901	W7136078901	The Educational Impact of Biased AI Coding Assistants: Usage Patterns and Student Performance in a Course on AI-Agent Social Simulation	Open MIND	journal-article	0	green	by/2026--the-educational-impact-of-biased-ai-coding-assistants-usage.md	preprint version
2026	W7147187740	W7147187740 W7148176124	Theory of Mind and Self-Attributions of Mentality are Dissociable in LLMs	arXiv (Cornell University)	journal-article	0	green	by/2026--theory-of-mind-and-self-attributions-of-mentality-are.md	preprint version; OpenAlex duplicates merged: W7147187740 W7148176124
2026	W7167931825	W7167931825	U.S. Policies Unintentionally Accelerated China's Open AI Ecosystems	SSRN Electronic Journal	journal-article	0	green	by/2026--u-s-policies-unintentionally-accelerated-china-s-open-ai.md	preprint version
2026	W7140741146	W7140741146	Volume 9, Issue 1 (2026): The Future of Social Computing — Ethics, Equity, and Impact	ACM Transactions on Social Computing	journal-article	0	closed	by/2026--volume-9-issue-1-2026-the-future-of-social.md	
2025	W4409245490	W4409245490	19 Big Data and the Computational Social Science of Entrepreneurship and Innovation		book-chapter	0	green	by/2025--19-big-data-and-the-computational-social-science-of.md	
2025	W4413279203	W4413279203 W4416258839	AI Behavioral Science	SSRN Electronic Journal	journal-article	0	green	by/2025--ai-behavioral-science.md	preprint version; OpenAlex duplicates merged: W4413279203 W4416258839
2025	W4416452191	W4416452191	Advancing the Scientific Method with Large Language Models: From Hypothesis to Discovery	arXiv (Cornell University)	journal-article	0	green	by/2025--advancing-the-scientific-method-with-large-language-models-from.md	preprint version
2025	W4416179413	W4416179413	After science	Science	essay	1	closed	by/2025--after-science.md	
2025	W7104875833	W7104875833	Datasets for the manuscript "Large-scale randomized trials show no evidence of gender bias in evaluating scientific abstracts"	Zenodo (CERN European Organization for Nuclear Research)	report	0	green	by/2025--datasets-for-the-manuscript-large-scale-randomized-trials-show.md	
2025	W4409522923	W4409522923	Differences in psychologists’ cognitive traits are associated with scientific divides	Nature Human Behaviour	journal-article	5	hybrid	by/2025--differences-in-psychologists-cognitive-traits-are-associated-with-scientific.md	
2025	W4406803770	W4406803770 W4388927450 W7163065792 W7163037760	Differential impact from individual versus collective misinformation tagging on the diversity of Twitter (X) information engagement and mobility	Nature Communications	journal-article	7	gold	by/2025--differential-impact-from-individual-versus-collective-misinformation-tagging-on.md	OpenAlex duplicates merged: W4406803770 W4388927450 W7163065792 W7163037760
2025	W4406272922	W4406272922	Emergence of human-like polarization among large language model agents	arXiv (Cornell University)	journal-article	2	green	by/2025--emergence-of-human-like-polarization-among-large-language-model.md	preprint version
2025	W4412954363	W4412954363	Exploring the role of large language models in the scientific method: from hypothesis to discovery	npj Artificial Intelligence	journal-article	69	diamond	by/2025--exploring-the-role-of-large-language-models-in-the.md	
2025	W4410637846	W4410637846 W4405301059	From Division to Unity: A Large-Scale Study on the Emergence of Computational Social Science, 1990-2021		journal-article	1	gold	by/2025--from-division-to-unity-a-large-scale-study-on.md	OpenAlex duplicates merged: W4410637846 W4405301059
2025	W4415999843	W4415999843	Innovative Paradigms in Organizational Change: Dynamics of Networks, Leadership, and Creativity	Academy of Management Proceedings	journal-article	0	closed	by/2025--innovative-paradigms-in-organizational-change-dynamics-of-networks-leadership.md	conference abstract
2025	W4409719234	W4409719234	LLM Social Simulations Are a Promising Research Method	arXiv (Cornell University)	journal-article	4	green	by/2025--llm-social-simulations-are-a-promising-research-method.md	preprint version
2025	W4415059245	W4415059245	Language Model Perplexity Predicts Scientific Surprise and Transformative Impact	arXiv (Cornell University)	journal-article	0	green	by/2025--language-model-perplexity-predicts-scientific-surprise-and-transformative-impact.md	preprint version
2025	W4416390726	W4416390726	Language Models Should be Used to Surface the Unwritten Code of Science and Society	arXiv (Cornell University)	journal-article	0	green	by/2025--language-models-should-be-used-to-surface-the-unwritten.md	preprint version
2025	W4408399347	W4408399347	Large AI models are cultural and social technologies	Science	essay	61	closed	by/2025--large-ai-models-are-cultural-and-social-technologies.md	
2025	W4412380437	W4412380437 W4226013979	Learning from one and only one shot	npj Artificial Intelligence	journal-article	4	diamond	by/2025--learning-from-one-and-only-one-shot.md	OpenAlex duplicates merged: W4412380437 W4226013979
2025	W4415334490	W4415334490	Linear Representations of Political Perspective Emerge in Large Language Models	arXiv (Cornell University)	journal-article	1	green	by/2025--linear-representations-of-political-perspective-emerge-in-large-language.md	preprint version
2025	W7117761861	W7117761861	Lower-skilled occupations face greater upskilling pressure in U.S. job ads	Nature Communications	journal-article	1	gold	by/2025--lower-skilled-occupations-face-greater-upskilling-pressure-in-u.md	
2025	W4415332486	W4415332486	Mapping Overlaps in Benchmarks through Perplexity in the Wild	arXiv (Cornell University)	journal-article	0	green	by/2025--mapping-overlaps-in-benchmarks-through-perplexity-in-the-wild.md	preprint version
2025	W4415330097	W4415330097	Missing vs. Unused Knowledge Hypothesis for Language Model Bottlenecks in Patent Understanding	arXiv (Cornell University)	journal-article	0	green	by/2025--missing-vs-unused-knowledge-hypothesis-for-language-model-bottlenecks.md	preprint version
2025	W4407843432	W4407843432	Model predicted human mobility explains COVID-19 transmission in urban space without behavioral data	Scientific Reports	journal-article	7	gold	by/2025--model-predicted-human-mobility-explains-covid-19-transmission-in.md	
2025	W4417081431	W4417081431	Rationality Check! Benchmarking the Rationality of Large Language Models	arXiv (Cornell University)	journal-article	0	green	by/2025--rationality-check-benchmarking-the-rationality-of-large-language-models.md	preprint version
2025	W4415626477	W4415626477	Shifting power asymmetries in scientific teams reveal China’s rising leadership in global science	Proceedings of the National Academy of Sciences	journal-article	8	hybrid	by/2025--shifting-power-asymmetries-in-scientific-teams-reveal-chinas-rising.md	
2025	W4415337233	W4415337233	Signal in the Noise: Polysemantic Interference Transfers and Predicts Cross-Model Influence	arXiv (Cornell University)	journal-article	0	green	by/2025--signal-in-the-noise-polysemantic-interference-transfers-and-predicts.md	preprint version
2025	W4410942332	W4410942332 W4402455155 W4409089456 W4409009982	Simulating Subjects: The Promise and Peril of Artificial Intelligence Stand-Ins for Social Agents and Interactions	Sociological Methods & Research	journal-article	21	closed	by/2025--simulating-subjects-the-promise-and-peril-of-artificial-intelligence.md	OpenAlex duplicates merged: W4410942332 W4402455155 W4409089456 W4409009982
2025	W4416002172	W4416002172	Strategic Communication: Discourse and Framing Strategy for Collective Cognition and Performance	Academy of Management Proceedings	journal-article	0	closed	by/2025--strategic-communication-discourse-and-framing-strategy-for-collective-cognition.md	conference abstract
2025	W4416098642	W4416098642	Synthesis of innovation and obsolescence	arXiv (Cornell University)	journal-article	0	green	by/2025--synthesis-of-innovation-and-obsolescence.md	preprint version
2025	W4414697270	W4414697270	The (Short-Term) Effects of Large Language Models on Unemployment and Earnings	arXiv (Cornell University)	journal-article	1	green	by/2025--the-short-term-effects-of-large-language-models-on.md	preprint version
2025	W4407661778	W4407661778	Using human mobility data to quantify experienced urban inequalities	Nature Human Behaviour	journal-article	49	closed	by/2025--using-human-mobility-data-to-quantify-experienced-urban-inequalities.md	
2024	W4392229567	W4392229567 W4392640714	Algorithmic Abduction: Robots for Alien Reading	Critical Inquiry	journal-article	8	closed	by/2024--algorithmic-abduction-robots-for-alien-reading.md	OpenAlex duplicates merged: W4392229567 W4392640714
2024	W4415798544	W4415798544	Can Large Language Model Agents Simulate Human Trust Behavior?		journal-article	17	closed	by/2024--can-large-language-model-agents-simulate-human-trust-behavior.md	
2024	W4404510222	W4404510222 W4366850606	China and the U.S. produce more impactful AI research when collaborating together	Scientific Reports	journal-article	25	gold	by/2024--china-and-the-u-s-produce-more-impactful-ai.md	OpenAlex duplicates merged: W4404510222 W4366850606
2024	W4392909886	W4392909886	Conditional Word Count and Huffman Code Size are Two Sides of the Same Coin: Response to Koplenig		journal-article	1	gold	by/2024--conditional-word-count-and-huffman-code-size-are-two.md	preprint version
2024	W4390725622	W4390725622	Counterfactual mobility network embedding reveals prevalent accessibility gaps in U.S. cities	Humanities and Social Sciences Communications	journal-article	5	gold	by/2024--counterfactual-mobility-network-embedding-reveals-prevalent-accessibility-gaps-in.md	
2024	W4400441841	W4400441841	Depth Versus Breadth in the Hierarchical Recombination of Technology	Academy of Management Proceedings	journal-article	0	closed	by/2024--depth-versus-breadth-in-the-hierarchical-recombination-of-technology.md	conference abstract
2024	W4403710735	W4403710735	Designing LLM-Agents with Personalities: A Psychometric Approach		journal-article	2	gold	by/2024--designing-llm-agents-with-personalities-a-psychometric-approach.md	preprint version
2024	W4391429331	W4391429331 W4315705875	Disrupted routines anticipate musical exploration	Proceedings of the National Academy of Sciences	journal-article	5	hybrid	by/2024--disrupted-routines-anticipate-musical-exploration.md	OpenAlex duplicates merged: W4391429331 W4315705875
2024	W4392019785	W4392019785	Evolving AI Collectives to Enhance Human Diversity and Enable Self-Regulation	arXiv (Cornell University)	journal-article	2	green	by/2024--evolving-ai-collectives-to-enhance-human-diversity-and-enable.md	preprint version
2024	W4395046525	W4395046525	Generative AI To Recognize Response Fabrication in PTSD	Research Square	journal-article	0	green	by/2024--generative-ai-to-recognize-response-fabrication-in-ptsd.md	preprint version
2024	W4404782693	W4404782693 W4404399961	Hidden Persuaders: LLMs’ Political Leaning and Their Influence on Voters		journal-article	15	gold	by/2024--hidden-persuaders-llms-political-leaning-and-their-influence-on.md	OpenAlex duplicates merged: W4404782693 W4404399961
2024	W4391883003	W4391883003 W4226128088	Human languages with greater information density have higher communication speed but lower conversation breadth	Nature Human Behaviour	journal-article	19	closed	by/2024--human-languages-with-greater-information-density-have-higher-communication.md	OpenAlex duplicates merged: W4391883003 W4226128088
2024	W4395481548	W4395481548 W4401661447	In Silico Sociology: Forecasting COVID-19 Polarization with Large Language Models		journal-article	15	closed	by/2024--in-silico-sociology-forecasting-covid-19-polarization-with-large.md	preprint version; OpenAlex duplicates merged: W4395481548 W4401661447
2024	W4400443592	W4400443592	Innovation, Breakthroughs & Disruptive Knowledge: Evidence from Science & Scientists	Academy of Management Proceedings	journal-article	0	closed	by/2024--innovation-breakthroughs-disruptive-knowledge-evidence-from-science-scientists.md	conference abstract
2024	W4404929753	W4404929753 W4366199525 W4366341833	Limited diffusion of scientific knowledge forecasts collapse	Nature Human Behaviour	journal-article	8	closed	by/2024--limited-diffusion-of-scientific-knowledge-forecasts-collapse.md	OpenAlex duplicates merged: W4404929753 W4366199525 W4366341833
2024	W4392735392	W4392735392 W4385459410 W4411209057	Replies to commentaries on beyond playing 20 questions with nature	Behavioral and Brain Sciences	journal-article	8	closed	by/2024--replies-to-commentaries-on-beyond-playing-20-questions-with.md	OpenAlex duplicates merged: W4392735392 W4385459410 W4411209057
2024	W4399553790	W4399553790	The Paradox of Collective Certainty in Science	arXiv (Cornell University)	journal-article	0	green	by/2024--the-paradox-of-collective-certainty-in-science.md	preprint version
2024	W4226283318	W4226283318	The Past as a Stochastic Process	Journal of Computer Applications in Archaeology	journal-article	0	gold	by/2024--the-past-as-a-stochastic-process.md	
2024	W4400442373	W4400442373	Toward a General Theory of the Organization: From Cells to Societies	Academy of Management Proceedings	journal-article	0	closed	by/2024--toward-a-general-theory-of-the-organization-from-cells.md	conference abstract
2023	W4384198612	W4384198612 W4379474368	Accelerating science with human-aware artificial intelligence	Nature Human Behaviour	journal-article	71	closed	by/2023--accelerating-science-with-human-aware-artificial-intelligence.md	OpenAlex duplicates merged: W4384198612 W4379474368
2023	W3178816848	W3178816848 W4287082662	Being together in place as a catalyst for scientific advance	Research Policy	journal-article	14	hybrid	by/2023--being-together-in-place-as-a-catalyst-for-scientific.md	OpenAlex duplicates merged: W3178816848 W4287082662
2023	W4390947383	W4390947383	Designing Diversity for Sustained Innovation		essay	0	closed	by/2023--designing-diversity-for-sustained-innovation.md	
2023	W4388572496	W4388572496 W4378551262	Do online certifications improve job market outcomes? Evidence from an IT skills certification platform in India	Information Economics and Policy	journal-article	9	closed	by/2023--do-online-certifications-improve-job-market-outcomes-evidence-from.md	OpenAlex duplicates merged: W4388572496 W4378551262
2023	W4385219344	W4385219344	Higher-Order Invention and New Venture Success	Academy of Management Proceedings	journal-article	1	closed	by/2023--higher-order-invention-and-new-venture-success.md	conference abstract
2023	W4380365635	W4380365635	In her Shoes: Gendered Labelling in Crowdsourced Safety Perceptions Data from India		journal-article	8	gold	by/2023--in-her-shoes-gendered-labelling-in-crowdsourced-safety-perceptions.md	
2023	W3131305202	W3131305202	Information Lattice Learning	Journal of Artificial Intelligence Research	journal-article	9	diamond	by/2023--information-lattice-learning.md	
2023	W4383743839	W4383743839	Introduction: The Craft and Code Binary (Osiris 38)	Osiris	journal-article	4	closed	by/2023--introduction-the-craft-and-code-binary-osiris-38.md	
2023	W4389537953	W4389537953 W3162292251	Local similarity and global variability characterize the semantic space of human languages	Proceedings of the National Academy of Sciences	journal-article	18	green	by/2023--local-similarity-and-global-variability-characterize-the-semantic-space.md	OpenAlex duplicates merged: W4389537953 W3162292251
2023	W4390352504	W4390352504	Message from Editors-in-Chief	Journal of Social Computing	journal-article	0	diamond	by/2023--message-from-editors-in-chief.md	
2023	W4380369182	W4380369182 W4225140800	Mobilizing Conceptual Spaces: How Word Embedding Models Can Inform Measurement and Theory Within Organization Science	Organization Science	journal-article	54	closed	by/2023--mobilizing-conceptual-spaces-how-word-embedding-models-can-inform.md	OpenAlex duplicates merged: W4380369182 W4225140800
2023	W4385224015	W4385224015	Strategic Ambiguity Aligns Stakeholder Attention	Academy of Management Proceedings	journal-article	0	closed	by/2023--strategic-ambiguity-aligns-stakeholder-attention.md	conference abstract
2023	W4360827085	W4360827085	Surprising combinations of research contents and contexts are related to impact and emerge with scientific outsiders from distant disciplines	Nature Communications	journal-article	103	gold	by/2023--surprising-combinations-of-research-contents-and-contexts-are-related.md	
2023	W4383743606	W4383743606	The Craft and Code Binary	Osiris	journal-article	1	closed	by/2023--the-craft-and-code-binary.md	
2023	W4384652156	W4384652156 W7128476819	The Future of Fundamental Science Led by Generative Closed-Loop Artificial Intelligence	Research Portal (King's College London)	review	11	green	by/2023--the-future-of-fundamental-science-led-by-generative-closed.md	OpenAlex duplicates merged: W4384652156 W7128476819
2023	W4381050876	W4381050876	The Inefficiency of Private Support for Public Health:Comparing Nonprofit Biomedical Research Funding with the NIH	SSRN Electronic Journal	journal-article	0	green	by/2023--the-inefficiency-of-private-support-for-public-health-comparing.md	preprint version
2023	W4377288543	W4377288543 W4382585418	The high-dimensional space of human diseases built from diagnosis records and mapped to genetic loci	Nature Computational Science	journal-article	11	hybrid	by/2023--the-high-dimensional-space-of-human-diseases-built-from.md	OpenAlex duplicates merged: W4377288543 W4382585418
2023	W4385320224	W4385320224 W4410936276	Why Do Scientists Disagree? A study of the psychological sciences		journal-article	2	gold	by/2023--why-do-scientists-disagree-a-study-of-the-psychological.md	preprint version; OpenAlex duplicates merged: W4385320224 W4410936276
2023	W4323349152	W4323349152	‘Its the Economy Stupid’: Predictive Theory of Belief Shift Connecting Economic Stress to Societal Polarization	Research Square	journal-article	0	green	by/2023--its-the-economy-stupid-predictive-theory-of-belief-shift.md	preprint version
2022	W4295298605	W4295298605	(Re)discovering Laws of Music Theory Using Information Lattice Learning	IEEE BITS the Information Theory Magazine	journal-article	2	hybrid	by/2022--re-discovering-laws-of-music-theory-using-information-lattice.md	
2022	W4311180246	W4311180246	Author-suggested reviewers rate manuscripts much more favorably: A cross-sectional analysis of the neuroscience section of PLOS ONE	PLoS ONE	journal-article	2	gold	by/2022--author-suggested-reviewers-rate-manuscripts-much-more-favorably-a.md	
2022	W4312065168	W4312065168 W4309697951 W4411209208	Beyond playing 20 questions with nature: Integrative experiment design in the social and behavioral sciences	Behavioral and Brain Sciences	journal-article	89	closed	by/2022--beyond-playing-20-questions-with-nature-integrative-experiment-design.md	OpenAlex duplicates merged: W4312065168 W4309697951 W4411209208
2022	W4283834222	W4283834222	Complementary artificial intelligence designed to augment human discovery	arXiv (Cornell University)	journal-article	2	green	by/2022--complementary-artificial-intelligence-designed-to-augment-human-discovery.md	preprint version
2022	W4293238822	W4293238822	Data on How Science Is Made Can Make Science Better	Harvard Data Science Review	essay	1	diamond	by/2022--data-on-how-science-is-made-can-make-science.md	
2022	W4302283161	W4302283161 W4306964237	Destructive creation, creative destruction, and the paradox of innovation science	Sociology Compass	journal-article	8	green	by/2022--destructive-creation-creative-destruction-and-the-paradox-of-innovation.md	OpenAlex duplicates merged: W4302283161 W4306964237
2022	W4310775339	W4310775339	Does big data serve policy? Not without context. An experiment with in silico social science	Computational and Mathematical Organization Theory	journal-article	5	bronze	by/2022--does-big-data-serve-policy-not-without-context-an.md	
2022	W4283714461	W4283714461	Event-level prediction of urban crime reveals a signature of enforcement bias in US cities	Nature Human Behaviour	journal-article	46	closed	by/2022--event-level-prediction-of-urban-crime-reveals-a-signature.md	
2022	W4226148732	W4226148732 W4294718704	Flat teams drive scientific innovation	Proceedings of the National Academy of Sciences	journal-article	162	hybrid	by/2022--flat-teams-drive-scientific-innovation.md	OpenAlex duplicates merged: W4226148732 W4294718704
2022	W4293547782	W4293547782	From Text Signals to Simulations: A Review and Complement to Text as Data by Grimmer, Roberts & Stewart (PUP 2022)	Sociological Methods & Research	journal-article	3	closed	by/2022--from-text-signals-to-simulations-a-review-and-complement.md	
2022	W4312470252	W4312470252	Misalignment Between Skills Discovered, Disseminated, and Deployed in the Knowledge Economy	Journal of Social Computing	journal-article	2	diamond	by/2022--misalignment-between-skills-discovered-disseminated-and-deployed-in-the.md	
2022	W4293240672	W4293240672	Prediction of robust scientific facts from literature	Nature Machine Intelligence	journal-article	29	closed	by/2022--prediction-of-robust-scientific-facts-from-literature.md	
2022	W4306176976	W4306176976	Quantifying hierarchy in scientific teams	arXiv (Cornell University)	journal-article	0	green	by/2022--quantifying-hierarchy-in-scientific-teams.md	preprint version
2022	W4398476059	W4398476059	Replication Data for: Surprising combinations of research contents and contexts are associated with impact and emerge with scientific outsiders from distant disciplines	Harvard Dataverse	report	0	green	—	dataset — no text item
2022	W4307136417	W4307136417	Sparse Data Reconstruction, Missing Value and Multiple Imputation through Matrix Factorization	Sociological Methodology	journal-article	9	closed	by/2022--sparse-data-reconstruction-missing-value-and-multiple-imputation-through.md	
2022	W3214699261	W3214699261 W4226018212 W4306792761	Strategic COVID-19 vaccine distribution can simultaneously elevate social utility and equity	Nature Human Behaviour	journal-article	41	bronze	by/2022--strategic-covid-19-vaccine-distribution-can-simultaneously-elevate-social.md	OpenAlex duplicates merged: W3214699261 W4226018212 W4306792761
2021	W3154093923	W3154093923	Accelerating science with human versus alien artificial intelligences	arXiv (Cornell University)	journal-article	4	green	by/2021--accelerating-science-with-human-versus-alien-artificial-intelligences.md	preprint version
2021	W3214697366	W3214697366	Aligning Multidimensional Worldviews and Discovering Ideological Differences	Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing	journal-article	7	hybrid	by/2021--aligning-multidimensional-worldviews-and-discovering-ideological-differences.md	
2021	W3184473372	W3184473372	Leveraging Artificial Intelligence for Collective Intelligence	Academy of Management Proceedings	journal-article	0	closed	by/2021--leveraging-artificial-intelligence-for-collective-intelligence.md	conference abstract
2021	W3125467961	W3125467961	Low-skilled Occupations Face the Highest Upskilling Pressure	arXiv (Cornell University)	journal-article	1	green	by/2021--low-skilled-occupations-face-the-highest-upskilling-pressure.md	preprint version
2021	W3204256746	W3204256746 W3094908526	NERO: a biomedical named-entity (recognition) ontology with a large, annotated corpus reveals meaningful associations through text embedding	npj Systems Biology and Applications	journal-article	15	gold	by/2021--nero-a-biomedical-named-entity-recognition-ontology-with-a.md	OpenAlex duplicates merged: W3204256746 W3094908526
2021	W3177048599	W3177048599 W4307434221	New directions in science emerge from disconnection and discord	Journal of Informetrics	journal-article	76	closed	by/2021--new-directions-in-science-emerge-from-disconnection-and-discord.md	OpenAlex duplicates merged: W3177048599 W4307434221
2021	W3134861680	W3134861680	Novelty, Disruption, and the Evolution of Scientific Impact.	arXiv (Cornell University)	journal-article	1	green	by/2021--novelty-disruption-and-the-evolution-of-scientific-impact.md	preprint version
2021	W3132308999	W3132308999	Policy-Aware Mobility Model Explains the Growth of COVID-19 in Cities	arXiv (Cornell University)	journal-article	0	green	by/2021--policy-aware-mobility-model-explains-the-growth-of-covid.md	preprint version
2021	W3129875167	W3129875167	Precise Event-level Prediction of Urban Crime Reveals Signature of Enforcement Bias	Research Square	journal-article	4	green	by/2021--precise-event-level-prediction-of-urban-crime-reveals-signature.md	preprint version
2021	W3156009102	W3156009102	Semantic maps and metrics for science Semantic maps and metrics for science using deep transformer encoders	arXiv (Cornell University)	journal-article	0	green	by/2021--semantic-maps-and-metrics-for-science-semantic-maps-and.md	preprint version
2021	W3203516702	W3203516702	Slowed canonical progress in large fields of science	Proceedings of the National Academy of Sciences	journal-article	315	hybrid	by/2021--slowed-canonical-progress-in-large-fields-of-science.md	
2021	W3173135198	W3173135198	Surprise! Measuring Novelty as Expectation Violation		journal-article	20	gold	by/2021--surprise-measuring-novelty-as-expectation-violation.md	preprint version
2021	W3198714308	W3198714308	The Delayed Recognition of Scientific Novelty	arXiv (Cornell University)	journal-article	2	green	by/2021--the-delayed-recognition-of-scientific-novelty.md	preprint version
2021	W3152485722	W3152485722	The Skills Space in Informal Work: Insights from Bangalore Slums	The Journal of Development Studies	journal-article	3	hybrid	by/2021--the-skills-space-in-informal-work-insights-from-bangalore.md	
2021	W3216304611	W3216304611	The Social Abduction of Science	arXiv (Cornell University)	journal-article	0	green	by/2021--the-social-abduction-of-science.md	preprint version
2021	W3148143011	W3148143011 W3040507763 W4287823644	Too Many Cooks: Bayesian Inference for Coordinating Multi‐Agent Collaboration	Topics in Cognitive Science	journal-article	83	bronze	by/2021--too-many-cooks-bayesian-inference-for-coordinating-multiagent-collaboration.md	OpenAlex duplicates merged: W3148143011 W3040507763 W4287823644
2020	W3038012100	W3038012100	Against method: Exploding the boundary between qualitative and quantitative studies of science	Quantitative Science Studies	journal-article	33	gold	by/2020--against-method-exploding-the-boundary-between-qualitative-and-quantitative.md	
2020	W3199966448	W3199966448	Deep Learning Without Neural Networks: Fractal-nets for Rare Event Modeling	Research Square	journal-article	1	green	by/2020--deep-learning-without-neural-networks-fractal-nets-for-rare.md	preprint version
