year_heading	entry
2009	“Cloud Computing Brought Down to Earth.” Introductory remarks for Digital Transformations Panel; World Economic Forum; Dalian, China; September 12, 2009
2009	“Tamed Tigers, Distressed Dragon: How Export-Led Growth Derailed Asia’s Economies.” Foreign Affairs,July/August 2009 (with Brian P. Klein)
2009	“Asia’s Green Tech Revolution: New Model, New Challenges.” Opening remarks to session “Going, Going, Green,” World Economic Forum East Asia Summit 2009, Seoul, June 19, 2009 (PDF here.)
2009	“Understanding US-Asia Economic Interrelations.” Remarks at the Salzburg Global Seminar / Freeman Foundation Symposium:Â Strengthening Cooperation Between the US and East Asia, June 7, 2009 (A PDF is here; the slides are here)
2009	“Meet the Enemy: Understanding Critics of the Patent System.” Speech at the European Patent Forum / PATINNOVA 2009; Prague, April 28, 2009 (PDF here)
2008	“Corporate Social Responsibility: Three Words; Two Lies.” Keynote Speech at The CSR Challenge Conference; Tokyo, December 8, 2008
2008	“Seizing the Arbitrage Opportunity for Legal Rights: A Case Study of International Bridges to Justice.” Innovations, MIT Press, vol. 3, Issue 2. June 2008 (PDF version)
2008	“The Nation-State and the Ever-Changing Internet.” Introductory remarks to the Interactive Panel of Experts, OECD Ministerial Meeting on the Future of the Internet Economy. Seoul, Korea, 18 June 2008. (PDF)
2008	“Muddling Through Internet Governance”, Invited essay for Publius Project, Berkman Center for Law & Technology, Harvard Law School, May 2008
2008	“ICTs to Reduce Climate Change: The coming age of ubiquitous networking.” Presentation to the Global Information Infrastructure Commission (GIIC), April 25, 2008; Tokyo, Japan
2008	“Green Jobs: Pick One.” Remarks at Research Conference: Green Jobs for Asia and the Pacific. International Labor Organization. Niigata, Japan. April 21, 2008
2008	“The Future of Convergence & Regulation: Trends — and Errors! — from the US and EU.” Keynote speech at the Keidanren Convergence Regulatory Symposium, February 26, 2008 in Tokyo, Japan
2007	“The Next Internet Governance Battles” in “The Power of Ideas: Internet Governance in a Global Multistakeholder Environment ” (Wolfgang Kleinwachter, ed.); Internet Governance Forum, Rio de Janeiro, Brazil, Nov. 2007. (In PDF)
2007	“Governance as Gardening: The Governance of Information in the Global Economy” (PDF). Report of the 7th Annual Rueschlikon Conference on Information Policy, October 2007
2007	“Intellectual Property in an Era of Social Production.” Lecture at the Salzburg Seminar #439, Salzburg, Austria, March 15, 2007
2007	“Innovation: Where it comes from, whence it goes?” Speech to the Entrepreneurs’ Organization Malaysia; January 17, 2007 in Kuala Lumpur. (Article about it from The Daily Edge)
2007	“The Telecoms Industry Never Forgets, But Never Learns.” Introductory Remarks, World Communications Awards, London, November 9, 2006.
2007	“The Internet, Regulation, the Private Sector and Public Safety.” Concluding remarks at the CEPT Conference, Berlin, Oct. 12, 2006. Published in The International Journal of Communication, No. 2 (2007). (PDF version: IJOC)
2006	“Hero with a Thousand Faces: Innovative Entrepreneurship and Public Policy” (PDF). Report of the 6th Annual Rueschlikon Conference on Information Policy, October 2006
2006	“Threat to the net: ‘Network neutrality’ is good, but enshrining it in law is not.” Prospect (UK), September 2006
2006	“Power to the people” Review of Yochai Benkler’s “The Wealth of Networks” in The New Statesman,September 4, 2006
2006	“Threat to the net: ‘Network neutrality’ is good, but enshrining it in law is not.” Prospect magazine (UK), September 2006
2006	“Openness, Closedness and Internet Governance.” Remarks at the Internet Governance for Development conference, Oxford Internet Institute, August 31, 2006 (PDF version)
2006	“The Internet (TM): A Solution for Openness Through Closedness.” Paper presented at the Oxford Internet Institute conference on Internet governance, Aug. 31-Sept. 1, 2006, University of Oxford (PDF version)
2006	“The Four Myths of Modern Telecommunications,” Dinner remarks at the House of Lords in London, July 12th 2006. (PDF version)
2006	“The Business and Politics of Critical Information Infrastructure Protection” (PDF format) from the Roundtable of the Rueschlikon Conference on Information Policy; Washington, DC, March 2006.
2006	“Navigating the future(s) of biotech intellectual property,” Nature Biotechnology (Vol 24, No 3), March 2006
2005	“In Defence of Creativity.” The RSA Journal, The Royal Society for the encouragement of Arts, Manufactures and Commerce (UK). London, Dec. 2005
2005	“Who Will Control the Internet?,” Foreign Affairs, November/December 2005
2005	“Icann. Can you?” The International Herald Tribune, Nov. 16, 2005
2005	“Harness the power of mobile phones.” The International Herald Tribune, Aug. 4, 2005
2005	“Ensuring (and Insuring?) Critical Information Infrastructure Protection.” Harvard KSG Working Paper, based on Rueschlikon Conference on Information Law. October 2005
2005	“The WSIS Wars: An Analysis of the Politicization of the Internet.” In “The World Summit on the Information Society: Moving from the Past into the Future,” edited by Daniel Stauffacher & Wolfgang Kleinwächter. United Nations ICT Task Force. New York. Sept. 2005
2005	“And the Answer to Internet Governance is…” Remarks at the Oxford Internet Institute; Oxford, UK; 5 May 2005 (PDF version.)
2005	“Slouching Towards Geneva: Ten Unappreciated Axioms of Internet Governance”. Background paper for the Oxford Internet Institute’s forum on Internet Governance; Oxford, UK, 5-6 May 2005. (PDF version.)
2005	“The Privacy Risks of New Passport Technologies”. Introductory panel remarks at Computers, Freedom & Privacy conference; Seattle, April 13, 2005
2005	“Digital Convergence — or Digital Divorce?!” Remarks at McKinsey & Co. Media Practice Dinner at the Groucho Club in London on April 7, 2005
2005	“Global Business, Parochial Technology”. Introductory Remarks at The Economist’s Technology Industry Summit at CeBIT, March 9, 2005 in Hannover, Germany
2005	“Source vs. Force: Open Source Software Meets Intergovernmental Politics,” in The Politics of Open Source Adoption, (Joe Karaganis and Robert Latham, eds.); Social Science Research Council. May 2005. (Preprint PDF here / January 2005 draft)
2005	“Overcoming the New Paradoxes of Spam”. Remarks to the 4th ASEM eCommerce Conference; 22 February 2005
2004	“More Is Not Necessarily Better,” The New York Times, Aug. 23, 2004 (with Matthew Hindman)
2004	“The World vs. The Web: The UN’s Politicization of the Information Society,” in Information Technology and International Development, MIT Press. July 2004 (with Audrey Selian). (PDF here)
2004	“Mapping Internet Governance: Thoughts on applying cartography to technology and public policy.” Lecture at University College London, November 15, 2004 (to be posted shortly).
2004	“Multilateral Control of Internet Infrastructure and its Impact on US Sovereignty,” Telecommunications Policy and Research Conference; Alexandria, VA. October 2004
2004	“Internet Governance, National Interest and International Relations,” in Internet Governance: A Grand Collaboration, United Nations Information and Communications Technology Task Force, New York. Sept. 2004
2004	“Openness, Trust and Sovereignty,” Rueschlikon Conference on Information Policy. Harvard University, Zurich, Switzerland, June 2004
2004	“Media Regulations Meet the Internet Age,” Television Quarterly. National Academy of Television Arts & Sciences. New York. Spring 2004 (with Matthew Hindman)
2004	“Internet Governance: What? How? Who?” Workshop on Internet Governance, International Telecommunications Union. Geneva. Feb. 2004
2003	“Keep the Web Worldly and Wide,” The International Herald Tribune, Dec. 11, 2003, (with Matthew Hindman)
2003	“Why the Internet Must Regulate Itself,” The Financial Times, Oct. 31, 2003
2003	“More Media, Less Diversity,” The New York Times, June 2, 2003. (with Matthew Hindman)
2003	“Information Technology and Public-Private Sector Partnerships.” Remarks (in French) at the regulatory side-panel of the UN World Summit on the Information Society, Geneva, Dec. 2003. (English translation here / http://www.cukier.com/writings/WSIS-Dec03e.html)
2003	“Measuring Media Concentration Online and Offline,” Media Diversity and Localism: Meaning, Metrics, and the Public Interest, Ford Foundation. New York, Dec. 2003 (with Matthew Hindman)
2003	“Open Source Biotech: Can a non-proprietary approach to intellectual property work in the life sciences?” The Acumen Journal of Life Sciences, vol. I, issue 3. September/October 2003
2003	“Starving to Death on Red Herring.” The Baffler. Chicago, IL, Autumn 2003
2003	“Eminent Domain: Initial Policy Perspectives on Nationalizing Country-Code Internet Addresses.” Cardozo School of Law, Yeshiva University, New York, March 2003.
2002	“Don’t Let Governments Politicize the Internet,” The Asian Wall Street Journal, Nov. 5, 2002
2002	“Net Control,” Prospect (UK), October 2002
2002	“The Web’s Internal Woes,” The Financial Times, June 23 2002
2002	“All That Glitters Isn’t Gold,” The Wall Street Journal Europe, Feb. 19, 2002
2001	“Asia’s Role in the Biotechnology Century: Opportunities and Challenges,” Remarks at the World Economic Forum regional Asia Summit; 31 October 2001, Hong Kong
2001	“Cyberspace vs. Sovereignty: New Foreign Policy Challenges for the Internet Era.” June 2001
2001	“Dot-Com Carthage: The Old World Meets the New Economy, Round II.” Speech delivered to the Harvard Business School’s Eurotrek symposium, London, 7 January 2001
2000	“France’s Capitalist Embraces the Future,” The Wall Street Journal Europe, Sept. 16, 2000
2000	“Cyberspace Meets Sovereignty,” The Wall Street Journal Europe, Aug. 17, 2000
2000	“Spies Like Us,” The Wall Street Journal Europe, March 30, 2000
2000	“From Journalism to Journal: How New Technologies Encourage the ‘Me’ in ‘Media’,” IMP Magazine on Information Impacts; Center for Information Strategy and Policy, of Science Applications International Corp. (SAIC). May 2000
2000	“Dot-Com Delirium: The Old World Meets the New Economy,” Speech delivered to L’Association France-Ameriques, Paris, 17 April 2000
2000	“Legitimacy and Internet Governance,” (co-author with Tamar Frankel, Professor of Law at the Boston University School of Law). Published in conference proceedings of Fordham Law School (NY) and Southern Cross University Law School (Australia), Spring 2000
2000	“The Imperial Internet: Middle Eastern Internet Traffic and International Relations,” For CAINET’00 sponsored by the Egypt chapter of the Internet Society, Cairo, March 2000
2000	“Internet Governance: Then and Now.” TeleGeography. Washington, DC. January 2000
pre-2000	“Bandwidth Colonialism?: The Implications of Internet Infrastructure on International E-Commerce.” Presented at INET’99 sponsored by the Internet Society, San Jose, June 1999
pre-2000	“Internet Governance and the Ancien Regime (A Reply to Larry Lessig),” Swiss Review of Political Science, Zurich. Spring 1999
pre-2000	“‘Frenchelon’: France’s Global Surveillance Network and its Implications on International Intelligence Cooperation,” Presented at Computers, Freedom & Privacy (CFP’99) sponsored by the Association of Computing Machinery, Washington, DC, April 1999
pre-2000	“Internet Governance and International Relations,” Speech to The Center for the Study of International Communications and The American University of Paris, February 17, 1999.
pre-2000	“The Internet Loses Its Head,” The Wall Street Journal, Oct. 22, 1998
pre-2000	“The Global Internet.” TeleGeography. Washington, DC. November 1998.
pre-2000	Implications of Internet Governance on the Competitive Internet Landscape.” Re-Engineering the Management & Governance of the Internet. IIR Conferences. London, January 26, 1998
pre-2000	“Peering and Fearing: ISP Interconnection and Regulatory Issues.” The Internet and Telecommunications Policy. Harvard University, Kennedy School of Government, Information Infrastructure Project, December 1997
