date	show	episode	minutes	url
2022-08-17	The Democracy Group	Framing Is Vital For Survival. Kenneth Cukier and Francis de Véricourt | How Do We Fix It?	27	https://podcasts.apple.com/us/podcast/framing-is-vital-for-survival-kenneth-cukier-and/id1577840778?i=1000576354763
2022-08-05	How Do We Fix It?	Framing Is Vital For Survival. Kenneth Cukier and Francis de Véricourt	27	https://podcasts.apple.com/us/podcast/framing-is-vital-for-survival-kenneth-cukier-and/id1002910818?i=1000575112255
2022-08-03	The Innovation Show	Framers Part 3 with Kenneth Cukier	68	https://podcasts.apple.com/us/podcast/framers-part-3-with-kenneth-cukier/id1148455669?i=1000579049659
2022-07-31	The Innovation Show	Framers Part 2 with Kenneth Cukier	73	https://podcasts.apple.com/us/podcast/framers-part-2-with-kenneth-cukier/id1148455669?i=1000579049763
2022-07-26	The Innovation Show	Framers with Kenneth Cukier: Make Better Decisions In The Age of Big Data	82	https://podcasts.apple.com/us/podcast/framers-with-kenneth-cukier-make-better-decisions-in/id1148455669?i=1000579049534
2022-07-13	unSILOed with Greg LaBlanc	Framing, Re-Framing, and Perspective Taking feat. Kenneth Cukier	70	https://podcasts.apple.com/us/podcast/framing-re-framing-and-perspective-taking-feat/id1566956045?i=1000569800124
2022-05-24	Philosophy For Our Times	Computing the mind | Kenneth Cukier, Joanna Bryson, Peter Sjöstedt-Hughes	33	https://podcasts.apple.com/us/podcast/computing-the-mind-kenneth-cukier-joanna-bryson-peter/id1151965239?i=1000563515268
2022-03-29	The Oxford Review Podcast	The importance of frames and framing	51	https://podcasts.apple.com/us/podcast/the-importance-of-frames-and-framing/id1365402050?i=1000555607846
2022-03-22	Common Sense with Mike Omoniyi	EP69 How Will This War In Ukraine End w/ Kenneth Cukier	60	https://podcasts.apple.com/us/podcast/ep69-how-will-this-war-in-ukraine-end-w-kenneth-cukier/id1370719807?i=1000554817729
2021-08-20	DisrupTV	DisrupTV Episode 247, Kenneth Cukier, Ben Reuveni, Mimi Brooks	64	https://podcasts.apple.com/us/podcast/disruptv-episode-247-kenneth-cukier-ben-reuveni-mimi/id1237334663?i=1000532624840
2021-07-09	Change Makers: Leadership, Good Business, Ideas and Innovation	Kenneth Cukier – Human Advantage in the Age of Turmoil	37	https://podcasts.apple.com/us/podcast/kenneth-cukier-human-advantage-in-the-age-of-turmoil/id1511130084?i=1000528340715
2021-06-08	Intelligence Squared	Framing: A Guide to Thinking in the 21st Century	57	https://podcasts.apple.com/us/podcast/framing-a-guide-to-thinking-in-the-21st-century/id708371900?i=1000524692459
2021-06-08	Command Line Heroes en español	Explosión de los datos: procesamiento, almacenamiento y la nube	29	https://podcasts.apple.com/us/podcast/explosi%C3%B3n-de-los-datos-procesamiento-almacenamiento/id1530277079?i=1000524614147
2021-05-26	Groks Science Radio Show and Podcast	Framers -— Groks Science Show 2021-05-26	28	https://podcasts.apple.com/us/podcast/framers-groks-science-show-2021-05-26/id73329471?i=1000523202234
2021-05-22	Thinkers & Ideas	Framers with Kenneth Cukier and Francis de Véricourt	28	https://podcasts.apple.com/us/podcast/framers-with-kenneth-cukier-and-francis-de-v%C3%A9ricourt/id1450867110?i=1000522684361
2021-05-13	The Prof G Pod with Scott Galloway	AI, Big Data, and the Power of Framing — with Kenneth Cukier	50	https://podcasts.apple.com/us/podcast/ai-big-data-and-the-power-of-framing-with-kenneth-cukier/id1498802610?i=1000521562819
2021-05-12	Azeem Azhar's Exponential View	The Power of Mental Modeling and the Limits of AI	46	https://podcasts.apple.com/us/podcast/the-power-of-mental-modeling-and-the-limits-of-ai/id1172218725?i=1000521461243
2021-05-07	How Do We Fix It?	Framing is Fundamental. Francis de Véricourt and Kenneth Cukier	27	https://podcasts.apple.com/us/podcast/framing-is-fundamental-francis-de-v%C3%A9ricourt-and/id1002910818?i=1000520610930
2020-12-16	Technologies Impacting Society	Privacy & Surveillance In A Big Data Age With Kenneth Cukier	8	https://podcasts.apple.com/us/podcast/privacy-surveillance-in-a-big-data-age-with-kenneth-cukier/id1503212405?i=1000502668321
2017-07-27	The Long View	Cyber-attacks and the Great Siege of Dover Castle	27	https://podcasts.apple.com/us/podcast/cyber-attacks-and-the-great-siege-of-dover-castle/id1112605665?i=1000390367887
2017-03-02	Dollars and Change Podcast	Kenn Cukier on Big Data and Societal Impact	20	https://podcasts.apple.com/us/podcast/kenn-cukier-on-big-data-and-societal-impact/id1450016687?i=1000427949385
2017-01-11	This Much I Know - The Seedcamp Podcast	Kenneth Cukier, Senior Editor at The Economist on machine learning & big data	39	https://podcasts.apple.com/us/podcast/kenneth-cukier-senior-editor-at-the-economist-on/id962121995?i=1000379856321
2016-12-22	The AI in Business Podcast	How to Leverage Data Assets for Business - with Kenneth Cukier	26	https://podcasts.apple.com/us/podcast/how-to-leverage-data-assets-for-business-with-kenneth/id670771965?i=1000379223185
2016-10-06	Philosophy For Our Times	Everything We Know Is Wrong | Lawrence Krauss, Kenneth Cukier, Steve Fuller	39	https://podcasts.apple.com/us/podcast/everything-we-know-is-wrong-lawrence-krauss-kenneth/id1801716814?i=1000698878950
2015-02-16	Spring 2015 | Public lectures and events | Video	The Challenge of Big Data for the Social Sciences	92	https://podcasts.apple.com/us/podcast/the-challenge-of-big-data-for-the-social-sciences/id1106867628?i=1000524878355
2014-08-21	TechNation Radio Podcast	Episode 14-26 Tech Nation: Big Data changes Education	59	https://podcasts.apple.com/us/podcast/episode-14-26-tech-nation-big-data-changes-education/id876042622?i=1000737501490
2014-05-22	TechNation Radio Podcast	Episode 12: 03/19/2013  : Tech Nation - VIKTOR MAYER-SCHONBERGER BIG DATA  A Revolution That Will Transform How We Live, Work and Think	59	https://podcasts.apple.com/us/podcast/episode-12-03-19-2013-tech-nation-viktor-mayer-schonberger/id876042622?i=1000737501508
2013-03-12	KUCI: Privacy Piracy	Mari Frank Interviews Kenneth Cukier, 04/22/13	29	https://podcasts.apple.com/us/podcast/mari-frank-interviews-kenneth-cukier-04-22-13/id112015069?i=1000148860451
2013-02-11	Start the Week	Mathematical modelling with Lisa Jardine	42	https://podcasts.apple.com/us/podcast/mathematical-modelling-with-lisa-jardine/id131131620?i=1000353663125
2011-03-25	The Point Blank Show	Kenneth Cukier from The Economist on the Japan crisis from Ground Zero	22	https://podcasts.apple.com/us/podcast/kenneth-cukier-from-the-economist-on-the-japan/id261709494?i=1000675338489
