openalex_id	year	book_reviewed	review_title	reviewer(s)	venue	doi	oa_status	oa_url
W2328490920	2000	The Nature of the Book (1998)	The Nature of the Book: Print and Knowledge in the Making. Adrian Johns	Shef Rogers	The Papers of the Bibliographical Society of America	https://doi.org/10.1086/pbsa.94.2.24304354	closed	
W3093087158	2000	The Nature of the Book (1998)	<i>The Nature of the Book: Print and Knowledge in the Making</i>, by Adrian Johns	Gillian Fenwick	Papers of The Bibliographical Society of Canada	https://doi.org/10.33137/pbsc.v38i2.18186	diamond	https://doi.org/10.33137/pbsc.v38i2.18186
W2514585652	2000	The Nature of the Book (1998)	The Nature of the Book: Print and Knowledge in the Making. By Adrian Johns. Chicago: University of Chicago Press, 1998. Pp. xxi+753. $40.00.	Tim Harris	The Journal of Modern History	https://doi.org/10.1086/315997	closed	
W2063554602	2000	The Nature of the Book (1998)	The nature of the book: print and knowledge in the making. By Adrian Johns. Chicago: University of Chicago Press, 1998. Pp xxi+753. ISBN 0-226-40121-9. £31.95.	William H. Sherman	The Historical Journal	https://doi.org/10.1017/s0018246x00211588	closed	
W2769777921	2001	The Nature of the Book (1998)	The Nature of the Book: Print and Knowledge in the Making (review)	Curtis Whitaker	eScholarship (California Digital Library)		green	https://escholarship.org/uc/item/3xh8c1wf
W3217067225	2004	The Nature of the Book (1998)	Adrian Johns, The Nature of the Book: Print and Knowledge in the Making	Karl Galle	Annals of Science		closed	
W1589143716	2005	The Nature of the Book (1998)	Adrian Johns, the Nature of the Book: Print and Knowledge in the Making	張谷銘	新史學	https://doi.org/10.6756/nh.200503.0183	closed	
W4398155403	2024	The Science of Reading (2023)	:The Science of Reading: Information, Media, and Mind in Modern America	Andrew S. Lea	Isis	https://doi.org/10.1086/730240	closed	
W4404391469	2024	The Science of Reading (2023)	Adrian Johns, The Science of Reading: Information, Media, and Mind in Modern America	Christina Lupton	American Literary History	https://doi.org/10.1093/alh/ajae099	closed	
W4403950748	2024	The Science of Reading (2023)	Adrian Johns, The Science of Reading: Information, Media, and Mind in Modern America Chicago: University of Chicago Press, 2023. Pp. 504. ISBN 978-0-226-82148-1. $32.50 (cloth).	Lisa Gitelman	The British Journal for the History of Science	https://doi.org/10.1017/s0007087424001122	bronze	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9BBBA76EE975741DE0EA271E636A7834/S0007087424001122a.pdf/div-class-title-adrian-johns-span-class-italic-span-class-noitalic-the-science-of-reading-information-media-and-mind-in-modern-america-span-span-chicago-university-of-chicago-press-2023-pp-504-isbn-978-0-226-82148-1-32-50-cloth-div.pdf
W4408253871	2025	The Science of Reading (2023)	The Science of Reading: Information, Media, and Mind in Modern America by Adrian Johns (review)	Peter D. McDonald	History of Social Science	https://doi.org/10.1353/ssc.00010	closed	
W7160407158	2026	The Science of Reading (2023)	The Science of Reading: Information, Media &amp; Mind in Modern America by Adrian Johns (review)	Jonathan P. Rose	Information & Culture	https://doi.org/10.1353/lac.00041	closed	
