date	slug	title	subtitle	bylines	oreilly_byline	url	text_chars	file
2026-04-01	missing-mechanisms-for-the-agentic	Missing Mechanisms for the Agentic Economy	From disclosures to protocols to markets	Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/missing-mechanisms-for-the-agentic	28906	by/2026--asimov-missing-mechanisms-for-the-agentic.md
2026-03-24	dont-blame-the-model	Don’t Blame the Model	How current LLM infrastructure artificially limits developer control and system reliability	Asimov’s Addendum; Sruly Rosenblat	no	https://asimovaddendum.substack.com/p/dont-blame-the-model	16095	
2026-02-24	dangerously-skip-permissions	Dangerously Skip Permissions	The pragmatic case against scraping the open web and how market-shaping protocols could make agents safer.	Asimov’s Addendum; Sruly Rosenblat	no	https://asimovaddendum.substack.com/p/dangerously-skip-permissions	14978	
2026-02-03	open-source-in-the-ai-era	Can Open Source Survive AI?	The stories of Stack Overflow, Tailwind, FFmpeg, and curl	Asimov’s Addendum; Sruly Rosenblat	no	https://asimovaddendum.substack.com/p/open-source-in-the-ai-era	11654	
2026-01-21	what-does-anthropics-latest-economic	What does Anthropic's Latest Economic Index Data Really tell us?	"""if you listen very hard, the tune will come to you at last"""	Asimov’s Addendum; Ilan Strauss	no	https://asimovaddendum.substack.com/p/what-does-anthropics-latest-economic	15414	
2025-12-23	how-to-prevent-open-standards-from	How to Prevent Open Standards from Getting Captured Again	The bundling problem and the thin line between product and protocol	Sruly Rosenblat; Ilan Strauss; Asimov’s Addendum; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/how-to-prevent-open-standards-from	15528	by/2025--asimov-how-to-prevent-open-standards-from.md
2025-12-09	our-anthropic-ipo-christmas-wishlist	Our Anthropic IPO Christmas Wishlist	Tell Us What You’re Optimizing For	Asimov’s Addendum; Ilan Strauss; Tim O'Reilly; Isobel Moure	yes	https://asimovaddendum.substack.com/p/our-anthropic-ipo-christmas-wishlist	17274	by/2025--asimov-our-anthropic-ipo-christmas-wishlist.md
2025-11-25	are-llms-the-best-that-they-will	Are LLMs the Best That They Will Ever Be?	Without careful disclosure architectures, AI products may only get worse, even as the technology gets better.	Asimov’s Addendum; Rufus Rock; Ilan Strauss; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/are-llms-the-best-that-they-will	19127	by/2025--asimov-are-llms-the-best-that-they-will.md
2025-11-13	jet-planes-for-the-mind	Jet Planes for the Mind	With All Due Respect, Jensen Huang: AI Is a Tool, Not a Worker	Asimov’s Addendum; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/jet-planes-for-the-mind	21592	by/2025--asimov-jet-planes-for-the-mind.md
2025-11-08	ai-overviews-shouldnt-be-one-size	"AI overviews shouldn't be ""one size fits all"""	Establishing market-friendly norms for AI content attribution	Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/ai-overviews-shouldnt-be-one-size	0	by/2025--asimov-ai-overviews-shouldnt-be-one-size.md
2025-11-06	if-humans-can-see-it-bots-can-steal	If Humans Can See It, Bots Can Steal It	New architectures for content in the age of AI	Asimov’s Addendum; Isobel Moure; Ilan Strauss; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/if-humans-can-see-it-bots-can-steal	22172	by/2025--asimov-if-humans-can-see-it-bots-can-steal.md
2025-10-30	govern-ai-like-a-market-not-a-messiah	Govern AI Like a Market, Not a Messiah	If it moves markets, it belongs in filings: 8-K, 10-K, list and enforce	Asimov’s Addendum; Ilan Strauss; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/govern-ai-like-a-market-not-a-messiah	0	by/2025--asimov-govern-ai-like-a-market-not-a-messiah.md
2025-10-03	the-memory-walled-garden	The Memory Walled Garden	The gap between first and third party memory systems	Asimov’s Addendum; Sruly Rosenblat; Ilan Strauss; Tim O'Reilly; Isobel Moure	yes	https://asimovaddendum.substack.com/p/the-memory-walled-garden	17261	by/2025--asimov-the-memory-walled-garden.md
2025-03-05	weekly-roundup-march-5-2025	Weekly Roundup (March 5, 2025)	AI's manipulation problem, OpenAI has got Meta's back, the latest in Google's enshittification, and more!	Isobel Moure; Ilan Strauss	no	https://asimovaddendum.substack.com/p/weekly-roundup-march-5-2025	13782	
2025-02-26	weekly-roundup-february-26-2025	Weekly Roundup (February 26, 2025)	AI goes to War, Google sells sensitive consumer data, Anthropic falls into step with DeepSeek, and more.	Isobel Moure; Ilan Strauss; Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup-february-26-2025	10400	
2025-02-21	grok-3-on-elon-musk	Grok 3 on Elon Musk	So you said you wanted the truth...	Asimov’s Addendum; Isobel Moure; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/grok-3-on-elon-musk	12179	by/2025--asimov-grok-3-on-elon-musk.md
2025-02-19	weekly-roundup-february-19-2025	Weekly Roundup (February 19, 2025)	OpenAI gets erotic, UK AI safety institute gets a rebrand, and more.	Isobel Moure	no	https://asimovaddendum.substack.com/p/weekly-roundup-february-19-2025	7079	
2025-02-12	weekly-roundup-212	Weekly Roundup (February 12, 2025)	Paris AI Action Summit, new safety frameworks, cheese hallucinations, and more	Asimov’s Addendum; Isobel Moure; Ilan Strauss	no	https://asimovaddendum.substack.com/p/weekly-roundup-212	12499	
2025-02-05	weekly-roundup-february-5-2025	Weekly Roundup (February 5, 2025)	Zuckerberg on personalized AI, Sam Altman cozying up to government, and more...	Asimov’s Addendum; Isobel Moure; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/weekly-roundup-february-5-2025	11414	by/2025--asimov-weekly-roundup-february-5-2025.md
2025-01-29	underappreciated-lessons-from-deepseek	Underappreciated Lessons from DeepSeek	Most AI regulation misses the mark because regulators don't consider the real world context in which AI is deployed	Asimov’s Addendum; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/underappreciated-lessons-from-deepseek	6918	by/2025--asimov-underappreciated-lessons-from-deepseek.md
2025-01-29	weekly-roundup-january-29-2025	Weekly Roundup (January 29, 2025)	"An argument for open source, Microsoft's red team ""goes rogue"", covert benchmark funding, and inference-time compute for safety"	Asimov’s Addendum; Isobel Moure	no	https://asimovaddendum.substack.com/p/weekly-roundup-january-29-2025	6587	
2025-01-23	weekly-roundup-jan-22-2025	Weekly Roundup (Jan 23, 2025)	Might cheaper AI be better, addiction risks, metacognition, and agent infrastructure.	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup-jan-22-2025	5092	
2025-01-06	weekly-roundup-162025	Weekly Roundup (January 6, 2025)	It's been way too long, so this is long too ;-)	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup-162025	6763	
2024-12-20	born-on-the-fourth-of-july-the-bipartisan	Born on the Fourth of July? The Bipartisan House AI Task Force Report	Standards, industrial policy, and the very visible shadow of China	Asimov’s Addendum; Ilan Strauss	no	https://asimovaddendum.substack.com/p/born-on-the-fourth-of-july-the-bipartisan	11757	
2024-12-19	clios-blind-spot	Clio's Blind Spot	Why Clio ought to be reporting on API and business usage, not just individual users	Asimov’s Addendum; Tim O'Reilly; Isobel Moure	yes	https://asimovaddendum.substack.com/p/clios-blind-spot	9427	by/2024--asimov-clios-blind-spot.md
2024-12-16	the-architecture-of-participation	The Architecture of Participation: Tim O'Reilly and Kevin Werbach on AI, Regulation, and Disclosure	"Podcast Episode. ""Tim O'Reilly: The value of AI disclosure"" in The Road to Accountable AI."	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/the-architecture-of-participation	28748	by/2024--asimov-the-architecture-of-participation.md
2024-12-06	weekly-roundup-5a2	Weekly Roundup (December 6, 2024)	From the world of AI safety, commercialization, and open communication standards	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup-5a2	8689	
2024-11-20	what-auto-safety-teaches-us-about	What Auto Safety Teaches Us About AI Safety	“A complex system that works is invariably found to have evolved from a simple system that worked.” - John Gall, Systemantics	Asimov’s Addendum; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/what-auto-safety-teaches-us-about	17691	by/2024--asimov-what-auto-safety-teaches-us-about.md
2024-11-15	weekly-roundup-8ac	Weekly Roundup (November 15, 2024)	What we are reading and thinking about.	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup-8ac	9747	
2024-11-09	weekly-roundup-us-election-edition	Weekly Roundup: U.S. Election edition	Unconventional readings on the impact of the U.S. election on AI governance	Asimov’s Addendum; Ilan Strauss; Tim O'Reilly; Sruly Rosenblat	yes	https://asimovaddendum.substack.com/p/weekly-roundup-us-election-edition	5524	by/2024--asimov-weekly-roundup-us-election-edition.md
2024-10-29	ai-is-entirely-new-ai-is-exactly	AI is Entirely New, AI is Exactly the Same	Thoughts on the new White House AI Memorandum	Asimov’s Addendum; Ilan Strauss; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/ai-is-entirely-new-ai-is-exactly	9089	by/2024--asimov-ai-is-entirely-new-ai-is-exactly.md
2024-10-23	weekly-roundup-207	Weekly Roundup (October 23, 2024)	The world of AI, innovation, competition, and regulation as we think of it.	Asimov’s Addendum; Tim O'Reilly; Ilan Strauss	yes	https://asimovaddendum.substack.com/p/weekly-roundup-207	7839	by/2024--asimov-weekly-roundup-207.md
2024-10-22	is-ai-safety-a-potemkin-village	Is AI Safety a Potemkin Village?	Why disclosures ought to include the funding level and operational metrics of AI safety	Asimov’s Addendum; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/is-ai-safety-a-potemkin-village	4931	by/2024--asimov-is-ai-safety-a-potemkin-village.md
2024-10-10	weekly-roundup-a8b	Weekly Roundup (October 10, 2024)	Things we've read that we think you might want to read as well	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup-a8b	6308	
2024-10-02	model-persuasiveness-feature-or-bug	Model Persuasiveness: Feature or bug?	OpenAI's latest model cards consider persuasiveness as an AI risk. But will it stay that way? What happens when AI business models benefit from persuasion?	Asimov’s Addendum; Tim O'Reilly; Ilan Strauss	yes	https://asimovaddendum.substack.com/p/model-persuasiveness-feature-or-bug	12234	by/2024--asimov-model-persuasiveness-feature-or-bug.md
2024-10-01	can-we-have-ai-model-risk-evaluation	Risk without Uncertainty? OpenAI would like us to think so...	AI model evaluations, such as those conducted by OpenAI in its GPT system cards, aim to quantify model risks but often fail to account for uncertainty.	Asimov’s Addendum; Ilan Strauss; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/can-we-have-ai-model-risk-evaluation	7615	by/2024--asimov-can-we-have-ai-model-risk-evaluation.md
2024-09-24	weekly-roundup-92524	Weekly Roundup (September 24, 2024)	Things of note that we've read recently	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup-92524	7089	
2024-09-12	the-reflection-70b-controversy-and	The Reflection 70b Controversy – and Why We Need “Bad Benchmarks”	What the Reflection 70b model controversy tells us about LLM evaluation methods & our differing standards for closed vs. open source models	Asimov’s Addendum; Ilan Strauss; Sruly Rosenblat; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/the-reflection-70b-controversy-and	9929	by/2024--asimov-the-reflection-70b-controversy-and.md
2024-09-04	the-hot-blood-leaps-over-the-cold	The hot blood leaps over the cold decree		Asimov’s Addendum; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/the-hot-blood-leaps-over-the-cold	7544	by/2024--asimov-the-hot-blood-leaps-over-the-cold.md
2024-08-21	weekly-roundup	Weekly Roundup (August 21, 2024)	Things we've read that we think you might want to read as well	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/weekly-roundup	5208	
2024-08-19	algorithms-start-out-as-magic-but	Algorithms start out as magic. But then become captive to corporate interests.	Remedies for Google Search buying its default status should aim to empower the next generation of AI competitors	Ilan Strauss	no	https://asimovaddendum.substack.com/p/algorithms-start-out-as-magic-but	9864	
2024-08-16	what-can-ai-learn-from-accounting	What Can AI Learn from Accounting Standards?	Disclosure, auditing, and regulatory markets	Asimov’s Addendum; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/what-can-ai-learn-from-accounting	9796	by/2024--asimov-what-can-ai-learn-from-accounting.md
2024-07-31	welcome-to-asimovs-addendum	Welcome to Asimov's Addendum	The three laws of robotics were the beginning of the story, not the end...	Asimov’s Addendum	no	https://asimovaddendum.substack.com/p/welcome-to-asimovs-addendum	8844	by/2024--asimov-welcome-to-asimovs-addendum.md
