openalex_id	year	date	type	oa_status	doi	title	venue	authors	cited_by
W4296849099	2022	2022-09-23	paratext	closed	https://doi.org/10.1016/b978-0-12-822106-8.00023-3	List of contributors	Elsevier eBooks	Hugo Arredondo-Bernal; Derek R. Artz; Robert Behle; Ilaria Biasato; Tim Birthisel; Karel Bolckmans; Kevin R. Butt; Leslie Chan; Matthew A. Ciomperlik; Terry L. Couch; Thomas A. Coudron; Rosemarie De Clerck-Floate; Patrick De Clercq; Henry de Malmanche; Maria Luisa Dindo; Marcus V.A. Duarte; Paula Enes; Mark D. Finke; Tarra A. Freel; Francesco Gai; M.D. García-Cancino; Laura Gasco; Chris Geden; Joh	0
W4300094322	2022	2022-03-15	preprint	gold	https://doi.org/10.21428/352619e2.ff083dcc	BOAI20 - French Translation		Dominique Babini; Leslie Chan; Miho Funamori; Melissa Hagemann; Joseph Heather; Iryna Kuchma; Erin McKiernan; Peter Suber	0
W4242654676	2021	2021-12-14	book-chapter	closed	https://doi.org/10.4337/9781788974981.00043	University rankings and governance by metrics and algorithms	Edward Elgar Publishing eBooks	George Chen; Leslie Chan	10
W3209711020	2021	2021-04-15	book-chapter	green	https://doi.org/10.5281/zenodo.4730593	University Rankings and Governance by Metrics and Algorithms	Zenodo (CERN European Organization for Nuclear Research)	George Chen; Leslie Chan	9
W3163977681	2021	2021-04-13	article	green		Manifiesto de ciencia abierta y colaborativa en el desarrollo de la red Open and Collaborative Science in Developtment (OCSD): contexto e influencia	DOAJ (DOAJ: Directory of Open Access Journals)	Leslie Chan	1
W3153551129	2020	2020-12-09	article	closed		Open Access Archives for the global distribution of research publications		Barbara Kirsop; Subbiah Arunachalam Leslie Chan	0
W3133608632	2020	2020-11-01	article	green	https://doi.org/10.23636/1233	For Whom Should Science Be Opened?	British Library Research Repository	Leslie Chan	0
W4241022519	2020	2020-10-20	book-chapter	hybrid	https://doi.org/10.7551/mitpress/11885.003.0009	Can Open Scholarly Practices Redress Epistemic Injustice?	The MIT Press eBooks	Denisse Albornoz; Angela Okune; Leslie Chan	32
W4255551332	2020	2020-08-25	book-chapter	hybrid	https://doi.org/10.7551/mitpress/11635.003.0019	Toward an Inclusive, Open, and Collaborative Science: Lessons from OCSDNet	The MIT Press eBooks	Rebecca Hillyer; Denisse Albornoz; Alejandro Posada; Angela Okune; Leslie Chan	4
W3104245091	2020	2020-07-29	other	green		Equity and Online Learning Survey Results	TSpace (University of Toronto)	Chan, Leslie; Daswani, Girish; Hird-Younger, Miriam; Hunter, Mark; Way, Kieran	3
W3208865143	2020	2020-07-15	article	green	https://doi.org/10.5281/zenodo.3946773	Open Science Beyond Open Access: For and with communities, A step towards the decolonization of knowledge	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie; Hall, Budd; Piron, Florence; Tandon, Rajesh; Williams, Wanósts'a7 Lorna	29
W3208652866	2020	2020-07-15	article	green	https://doi.org/10.5281/zenodo.3947013	La science ouverte au-delà du libre accès : Pour et avec les communautés. Un pas vers la décolonisation des savoirs	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie; Budd Hall; Piron, Florence; Tandon, Rajesh; Wanósts'a7 Lorna Williams	1
W3092366058	2020	2020-06-25	report	green		When public universities contract with ‘ed tech’ vendors: issues concerning ‘Learning Management Systems’ and online learning	TSpace (University of Toronto)	David Allens; Leslie Chan; Nikita Chirila; Mariana Valverde	0
W7144247295	2020	2020-05-29	article	green	https://doi.org/10.20736/00001276	学術情報流通における「書誌多様性」の形成に向けて —行動の呼びかけ—	Institutional Repositories DataBase (IRDB)	キャスリーン, シアラー; レスリー, チャン; イリーナ, クチマ; ピエール, ムニエ; 河合, 将志; 南山, 泰之; 林, 正治; 藤原, 一毅; 尾城, 孝一; Shearer, Kathleen; Chan, Leslie; Kuchma, Iryna; Mounier, Pierre; Kawai, Masashi; Minamiyama, Yasuyuki; Hayashi, Masaharu; Fujiwara, Ikki; Ojiro, Koichi	0
W3019277480	2020	2020-04-15	article	green	https://doi.org/10.5281/zenodo.3752923	Fostering Bibliodiversity in Scholarly Communications: A Call for Action	Lincoln (University of Nebraska)	Shearer, Kathleen; Chan, Leslie; Kuchma, Iryna; Mounier, Pierre	65
W3032902188	2020	2020-04-15	article	green	https://doi.org/10.5281/zenodo.3752922	Fostering Bibliodiversity in Scholarly Communications: A Call for Action	Zenodo (CERN European Organization for Nuclear Research)	Shearer, Kathleen; Chan, Leslie; Kuchma, Iryna; Mounier, Pierre	0
W4288334383	2019	2019-06-08	conference-paper	green	https://doi.org/10.5281/zenodo.4320092	Whose Infrastructure? Towards Inclusive and Collaborative Knowledge Infrastructures in Open Science	Zenodo (CERN European Organization for Nuclear Research)	Okune, Angela; Hillyer, Rebecca; Albornoz, Denisse; Posada, Alejandro; Chan, Leslie	0
W2948041938	2019	2019-06-04	article	diamond	https://doi.org/10.5860/crln.80.6.329	ACRL-SPARC Forum: What we learned about community alignment and equity for emerging scholarly infrastructure	College & Research Libraries News	Kristen Ratan; Leslie Chan; Ashley Farley; Heather Joseph	0
W3210653691	2019	2019-04-30	article	green	https://doi.org/10.5281/zenodo.2656601	Platform Capitalism and the Governance of Knowledge Infrastructure	Figshare	Chan, Leslie	10
W7159927531	2019	2019-04-02	book-chapter	closed	https://doi.org/10.2307/j.ctv5vdd18.5	Principles for an Inclusive Open Science:	University of Ottawa Press eBooks	Denisse Albornoz; Becky Hillyer; Alejandro Posada; Angela Okune; Leslie Chan	0
W7159947279	2019	2019-04-02	book-chapter	closed	https://doi.org/10.2307/j.ctv5vdd18.4	Situating Openness:	University of Ottawa Press eBooks	Leslie Chan	0
W3208181068	2019	2019-03-17	other	green	https://doi.org/10.5281/zenodo.2596865	Whose Open Science? And Why Infrastructure Matters	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie	0
W4256338511	2019	2019-01-01	book-chapter	gold	https://doi.org/10.4000/books.oep.9072	Whose Infrastructure? Towards Inclusive and Collaborative Knowledge Infrastructures in Open Science		Angela Okune; Rebecca Hillyer; Leslie Chan; Denisse Albornoz; Alejandro Posada	21
W2947635257	2019	2019-01-01	book-chapter	gold	https://doi.org/10.4000/books.oep.9068	Vertical Integration in Academic Publishing		George Chen; Alejandro Posada; Leslie Chan	20
W2980327218	2019	2019-01-01	book	green	https://doi.org/10.20381/ruor-24088	Contextualizing Openness: Situating Open Science	Econstor (Econstor)	Chan, Leslie; Okune, Angela; Hillyer, Rebecca; Albornoz, Denisse; Posada, Alejandro	5
W2936257825	2019	2019-01-01	conference-paper	closed		Closing Keynote: Platform Capitalism and the Governance of Knowledge Infrastructure	Digital USD (University of San Diego)	Leslie Chan	1
W4255493174	2019	2019-01-01	book-chapter	gold	https://doi.org/10.4000/books.oep.9050	Introduction		Leslie Chan	1
W3001443967	2019	2019-01-01	other	closed		Structural Power and Knowledge Inequity	Open University of Cape Town (University of Cape Town)	Leslie Chan	0
W2966576198	2019	2019-01-01	book	gold	https://doi.org/10.4000/books.oep.8999	Connecting the Knowledge Commons — From Projects to Sustainable Infrastructure		Aguado-López, Eduardo; Albagli, Sarita; Albornoz, Denisse; Angelova, Milena; Antonova, Victoria; Becerril-García, Arianna; Boeva, Veselka; Calado, Pável; Chan, Leslie; Chen, George; Clinio, Anne; Ernst, Elisabeth; Fonseca, Felipe; Freire, Nuno; Hillyer, Rebecca; Lavesson, Niklas; Linde, Peter; MacGregor, James; Manasa Devagiri, Vishnu; Martins, Bruno; Okune, Angela; Owen, Brian; Pablo Alperin, Jua	17
W2912601075	2018	2018-11-12	article	diamond	https://doi.org/10.51359/2318-4183.2018.238912	Power and Inequality in Open Science Discourses	IRIS - Revista de Informação Memória e Tecnologia	Denisse Albornoz; Leslie Chan	10
W2809410491	2018	2018-06-15	conference-paper	gold	https://doi.org/10.4000/proceedings.elpub.2018.23	Framing Power: Tracing Key Discourses in Open Science Policies		Denisse Albornoz; Maggie Huang; Issra Marie Martin; Maria Mateus; Aicha Yasmine Touré; Leslie Chan	52
W2809074450	2018	2018-06-15	conference-paper	gold	https://doi.org/10.4000/proceedings.elpub.2018.31	Whose Infrastructure? Towards Inclusive and Collaborative Knowledge Infrastructures in Open Science		Angela Okune; Rebecca Hillyer; Denisse Albornoz; Alejandro Posada; Leslie Chan	31
W2802078541	2018	2018-05-03	other	green	https://doi.org/10.5281/zenodo.1240505	Open Access In The Global South: Perspectives From The Open And Collaborative Science In Development Network	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie	1
W2796330799	2018	2018-04-01	book-chapter	green		Asymmetry and inequality as a challenge for open access – an interview with Leslie Chan, (interview by Joachim Schöpfel)	TSpace (University of Toronto)	Leslie Chan	0
W3041106106	2018	2018-01-01	article	closed		Connecting the Knowledge Commons: From Projects to Sustainable Infrastructure		Rebecca Hillyer; Alejandro Sanín Posada; Denisse Albornoz; Leslie Chan; Angela Okune	0
W2770787534	2017	2017-11-28	report	green	https://doi.org/10.5281/zenodo.1215014	Next Generation Repositories: Behaviours And Technical Recommendations Of The Coar Next Generation Repositories Working Group	PUB – Publications at Bielefeld University (Bielefeld University)	Rodrigues, Eloy; Bollini, Andrea; Cabezas, Alberto; Castelli, Donatella; Carr, Les; Chan, Leslie; Humphrey, Chuck; Johnson, Rick; Knoth, Petr; Manghi, Paolo; Matizirofa, Lazarus; Perakakis, Pandelis; Schirrwagen, Jochen; Selematsela, Daisy; Shearer, Kathleen; Walk, Paul; Wilcox, David; Yamaji, Kazu	32
W2783306248	2017	2017-11-01	article	hybrid	https://doi.org/10.3233/isu-180863	Preface for articles from ELPUB2017	Information Services & Use	Leslie Chan; Fernando Loizides	0
W2949144049	2017	2017-06-08	article	closed		Proceedings of the 21st International Conference on Electronic Publishing		Leslie Chan; Fernando Loizides	1
W2734199199	2017	2017-06-04	letter	closed		Re:Provision of health information for all		Barbara Kirsop; Subbiah Arunachalam Leslie Chan	0
W2788383992	2017	2017-01-01	book	closed		Expanding perspective on open science: communities, cultures and diversity in concepts and practices	IOS Press BV eBooks	Leslie Chan; Fernando Loizides	2
W2759054245	2017	2017-01-01	book-chapter	hybrid	https://doi.org/10.3233/978-1-61499-769-6-18	Framing a Situated and Inclusive Open Science: Emerging Lessons from the Open and Collaborative Science in Development Network	IOS Press eBooks	Hillyer Rebecca; Posada Alejandro; Albornoz Denisse; Chan Leslie; Okune Angela	11
W2756584945	2017	2017-01-01	book-chapter	green	https://doi.org/10.3233/978-1-61499-769-6-293	Co-Constructing an Open and Collaborative Manifesto to Reclaim the Open Science Narrative	IOS Press eBooks	Albornoz Denisse; Posada Alejandro; Okune Angela; Hillyer Rebecca; Chan Leslie	5
W2805339261	2016	2016-06-26	conference-paper	green		Next generation repositories: Scaling up repositories to a global knowledge commons	Open Research Online - ORO (The Open University)	Kathleen Shearer; Elóy Rodrigues; Andrea Bollini; Alberto Cabezas; Donatella Castelli; Leslie Carr; Leslie Chan; Chuck Humphrey; Rick Johnson; Petr Knoth; Paolo Manghi; Lazarus Matizirofa; Pandelis Perakakis; Jochen Schirrwagen; Timothy F. Smith; Herbert Van de Sompel; Paul Walk; David Wilcox; Kazu Yamaji	0
W2341283722	2016	2016-04-18	article	gold	https://doi.org/10.3897/rio.2.e8880	Exploring the opportunities and challenges of implementing open research strategies within development institutions	Research Ideas and Outcomes	Cameron Neylon; Leslie Chan	12
W2404785434	2016	2016-01-01	article	green		Tackling Inequities in Global Scientific Power Structures	TSpace (University of Toronto)	Angela Okune; Becky Hillyer; Denisse Albornoz; Nanjira Sambuli; Leslie Chan	8
W1190463849	2015	2015-08-17	preprint	diamond	https://doi.org/10.15200/winn.143982.27959	Open Access in Latin America: a Paragon for the Rest of the World	The Winnower	Juan Pablo Alperin; Dominique Babini; Leslie Chan; Eve Gray; Jean-Claude Guédon; Heather Joseph; Eloy Rodrigues; Hebe Vessuri	7
W2137041494	2015	2015-08-01	other	green		What is open and collaborative science and what roles could it play in development	TSpace (University of Toronto)	Leslie Chan; Angela Okune; Nanjira Sambuli	8
W2552523262	2015	2015-01-01	article	closed		O que é ciência aberta e colaborativa, e que papéis ela poderia desempenhar no desenvolvimento?	Dialnet (Universidad de la Rioja)	Leslie Chan; Angela Okune; Nanjira Sambuli	1
W2561801864	2014	2014-11-29	article	closed		Integrating the “Green ” and “Gold ” road to Open Access: Experience from Bioline International		Leslie Chan; Sidnei De Sousa; Jen Sweezie	1
W1875375428	2014	2014-01-10	book-chapter	hybrid	https://doi.org/10.7551/mitpress/9724.003.0012	Centering the Knowledge Peripheries through Open Access: Implications for Future Research and Discourse on Knowledge for Development	The MIT Press eBooks	Leslie Chan; Eve Gray	10
W3085189984	2014	2014-01-01	conference-paper	closed		Let's Put Data to Use: Digital Scholarship for the Next Generation - 18th International Conference on Electronic Publishing	International Conference on Electronic Publishing	Leslie Chan; Fernando Loizides; Nikos Houssos; Andreas Kalaitzis; Evi Sachini	0
W2569247133	2013	2013-10-21	conference-paper	closed	https://doi.org/10.29173/cais621	New Media, New Practices: Reframing Scholarly Communication for the 21st Century	Proceedings of the Annual Conference of CAIS / Actes du congrès annuel de l ACSI	Nadia Caidi; Gale Moore; Leslie Chan; Clément Arsenault	0
W2041746984	2013	2013-09-26	article	gold	https://doi.org/10.1371/journal.pcbi.1003244	Ten Simple Rules for Cultivating Open Science and Collaborative R&D	PLoS Computational Biology	Hassan Masum; Aarthi Rao; Benjamin M. Good; Matthew H. Todd; Aled M. Edwards; Leslie Chan; Barry A. Bunin; Andrew I. Su; Zakir Thomas; Philip E. Bourne	32
W580457314	2013	2013-01-01	report	green		Deu anys després de la Budapest Open Access Initiative: l’accés obert per defecte	Dipòsit Digital de la Universitat de Barcelona (Universitat de Barcelona)	Sunil Abraham; Paul Ayris; Lars Bjørnshauge; Carl-Christian Buhr; Michael J. Carroll; Leslie Chan; Tom Cochrane; Darius Cuplinskas; Marin Dacos; Marc Dupuis; Kathleen Fitzpatrick; Jean‐Claude Guédon; Melissa Hagemann; Stevan Harnad; Neil G. Jacobs; Heather Joseph; Robert Kiley; Iryna Kuchma; Cameron Neylon; Mark W. Patterson; David Prosser; István Rév; Elóy Rodrigues	0
W1495313794	2012	2012-11-01	article	closed		Open Access and development: journals and beyond.		Leslie Chan; Eve Gray; Rebecca Kahn	13
W298423700	2012	2012-09-19	other	green		Re-imagining research impact in the open knowledge environment	UpSpace Institutional Repository (University of Pretoria)	Leslie Chan	0
W2055531654	2011	2011-03-29	article	gold	https://doi.org/10.1371/journal.pmed.1001016	Towards Open and Equitable Access to Research and Knowledge for Development	PLoS Medicine	Leslie Chan; Barbara Kirsop; Subbiah Arunachalam	115
W4412389386	2011	2011-01-01	book-chapter	gold	https://doi.org/10.3917/cf.colle.2011.01.0086	Libres Savoirs		Leslie Chan; Subbiah Arunachalam; Barbara Kirsop	0
W2475368916	2010	2010-10-25	conference-abstract	closed		Who Should Pay for Open Access? A Case Study of Bioline International and a Global Distributed Support Model	CAS OpenIR (Chinese Academy of Sciences)	Leslie Chan	0
W2642253671	2009	2009-11-14	other	green		The Shifting Sands of Scholarly Communication System: Why Open Access Matters?	TSpace (University of Toronto)	Leslie Chan	0
W2579260077	2009	2009-10-23	other	green	https://doi.org/10.11575/prism/29644	Research and Learning in an Open Access Environment	Open MIND	Chan, Leslie	0
W2124995107	2009	2009-08-01	article	diamond	https://doi.org/10.2471/blt.09.064659	Open access: a giant leap towards bridging health inequities	Bulletin of the World Health Organization	Leslie Chan; Subbiah Arunachalam; Barbara Kirsop	40
W2615594373	2009	2009-08-01	article	green		Open Access: A Giant Leap towards Bridging Health inequities/Acces Libre Aux Connaissances : Un Pas De Geant Vers le Comblement Des Inegalites En Matiere De sante/Acceso Libre: Un Paso De Gigante Para Resolver Las Inequidades Sanitarias	Bulletin of the World Health Organization	Leslie Chan; Subbiah Arunachalam; Barbara Kirsop	0
W2992230541	2009	2009-07-07	article	green		The chain of communication in health science: from researcher to health worker through open access.	PubMed	Leslie Chan; Subbiah Arunachalam; Barbara Kirsop	5
W2579717936	2009	2009-01-01	other	closed		Symposium on the Institutionalisation of Openness in Universities.	Elpub digital library	Leslie Chan; Gale Moore	0
W2528361933	2008	2008-09-01	book-chapter	green		Innovating in the Creative and Knowledge Industries: Not an Open or Closed Case	TSpace (University of Toronto)	G. de Moore; Leslie Chan	0
W4256269742	2008	2008-01-01	article	bronze	https://doi.org/10.2304/pfie.2008.6.2.152	The Wealth of Networks	Policy Futures in Education	Philippe Aigrain; Leslie Chan; Jean-Claude Guédon; John Willinsky; Yochai Benkler	9
W31279430	2007	2007-12-12	book-chapter	closed	https://doi.org/10.1007/978-0-387-47650-6_12	Publishing and Disseminating Science Findings		Steven Rudgard; Enrica Porcari; Noha Adley; Leslie Chan; Michael Jensen	1
W1591028215	2007	2007-06-01	article	green		Feasibility of Open Access Publishing for Journals Funded by the Social Science and Humanities Research Council of Canada	TSpace (University of Toronto)	Leslie Chan; Frances Groen; Jean‐Claude Guédon	1
W1654912012	2007	2007-01-01	article	closed		Access to Scientific Knowledge for Sustainable Development: Options for Developing Countries	Ariadne	Leslie Chan; Barbara Kirsop; Subbiah Arunachalam	37
W2046328526	2007	2007-01-01	article	hybrid	https://doi.org/10.1002/meet.1450440112	The future of institutional repositories: The experts (and audience) debate	Proceedings of the American Society for Information Science and Technology	Leslie Chan; Kenneth Frazier; Michael Leach; Robin Peek; Anita Coleman; Kristin Eschenfelder	0
W2143911282	2007	2007-01-01	other	closed		The Inclusion of Open Access Journals in Academic Libraries: A Case Study of Bioline International	Elpub digital library	Jen Sweezie; Nadia Caidi; Leslie Chan	0
W2279226791	2007	2007-01-01	other	green		Case studies of the integration of institutional repositories and open access journals	The HKU Scholars Hub (University of Hong Kong)	Leslie Chan	0
W2673113609	2006	2006-08-16	other	green		Study of the Feasibility of Open-Access Publishing For Journals Funded by SSHRC’s Aid to Scholarly and Transfer Journals Programme	TSpace (University of Toronto)	Leslie Chan; Frances Groen; Jean-Claude Gué don	1
W2276310350	2006	2006-06-02	conference-paper	closed		Digitizing Culture: Challenges, Opportunities and Lessons Learned	Summit (Simon Fraser University)	Leslie Chan	0
W2793312688	2006	2006-05-18	other	closed		Centering the Knowledge Periphery through Open Access	TSpace (University of Toronto)	Leslie Chan	0
W2727999279	2006	2006-04-08	other	closed		Enabling Global Open Access through Collaboration	TSpace (University of Toronto)	Leslie Chan	0
W2240891068	2006	2006-01-01	other	green		A tale of two repositories: linking the local and the global	RepositóriUM (Universidade do Minho)	Leslie Chan; Ana Alice Baptista	1
W1933222417	2006	2006-01-01	other	closed		Independent Journals: Solutions for Low-cost, Open Access Journal Publishing	Elpub digital library	Leslie Chan; Susanna Mornati	0
W2064831814	2006	2006-01-01	article	closed	https://doi.org/10.1002/meet.1450430136	Life after WSIS: Lessons learnt and implications for the information professions	Proceedings of the American Society for Information Science and Technology	Leslie Chan; Sheri Weber; Robert Guerra; Michel Menou; Nadia Caidi; John Gathegi	0
W4239201219	2005	2005-12-01	article	closed	https://doi.org/10.1080/00987913.2005.10764998	Transforming Access to Research Literature for Developing Countries	Serials Review	Barbara Kirsop; Leslie Chan	31
W2131092090	2005	2005-11-11	preprint	green		Open Access Archiving: The Fast Track to Building Research Capacity in Developing Countries	RePEc: Research Papers in Economics	Leslie Chan; Barbara Kirsop; Subbiah Arunachalam	86
W2143964883	2005	2005-10-28	article	green	https://doi.org/10.1016/j.serrev.2005.09.003	Transforming Access to Research Literature for Developing Countries	Serials Review	Barbara Kirsop; Leslie Chan	54
W2287483283	2005	2005-10-19	other	closed		Strategies for building the global knowledge commons: institutional repository and beyond	TSpace (University of Toronto)	Leslie Chan	1
W2737422010	2005	2005-08-01	conference-paper	green		Improving access to research literature in developing countries : challenges and opportunities provided by Open Access	RIUnB Institutional Repository (University of Brasília)	Leslie Chan; Barbara Kirsop; Sely Maria de Souza Costa; Subbiah Arunachalam	25
W2101706738	2005	2005-06-10	other	closed		Integrating the "gold" and "green" Road to Open Access: Experiences from Bioline International.	Elpub digital library	Leslie Chan; Sidnei de Souza; Jennifer Sweezie	0
W7133054388	2005	2005-06-10	book-chapter	green		Integrating the "gold" and the "green" road to open access: experience from Bioline International	TSpace (University of Toronto)	Chan, Leslie; Souza, Sidnei de; Sweezie, Jennifer	0
W2577634726	2005	2005-06-06	other	closed		Implementing and filling institutional repositories	TSpace (University of Toronto)	Leslie Chan; Rea Devakos; Gabriela Mircea	0
W2008693071	2005	2005-03-01	article	green	https://doi.org/10.1108/03074800510587354	Participation in the global knowledge commons	Global Knowledge, Memory and Communication	Leslie Chan; Sely Costa	165
